Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-91.6479	-91.6479	-191.3208	-39.77624	13.519043	0.04036397	-57.516308	-39.77529	0.0	196988	112.6052258014679
1	-119.41609	-119.41609	-108.42131	-49.89469	1.1680908	-12.055393	-55.644207	-49.896095	0.0	397991	223.78251695632935
2	-85.67487	-85.67487	-53.5865	-49.884468	1.8359591	-0.24981645	-53.99943	-49.88677	0.0	598988	337.2707154750824
3	-76.66341	-76.66341	-79.31884	-49.89655	1.6876976	4.6738153	-52.9338	-49.897522	0.0	799985	451.62130904197693
4	-75.20427	-75.20427	-113.515724	-49.80161	2.1759198	5.6850557	-53.150772	-49.802036	0.0	1000991	559.8511009216309
5	-91.82899	-91.82899	-62.757385	-49.66431	2.6381853	4.6978383	-54.55469	-49.663048	0.0	1201991	664.9769480228424
6	-97.6933	-97.6933	-93.0891	-49.554764	3.279673	6.268051	-55.656406	-49.554775	0.1	1402982	780.5421612262726
7	-87.373924	-87.373924	-104.244255	-49.43535	3.793763	6.8353534	-54.7896	-49.433945	0.0	1603982	897.649097442627
8	-90.662674	-90.662674	-19.008787	-49.392925	4.237796	11.724983	-56.354916	-49.391693	0.1	1804991	1007.5164437294006
9	-124.46841	-124.46841	-73.008125	-49.399906	4.4130306	7.731764	-56.073704	-49.399925	0.0	2005991	1118.1031725406647
10	-95.13045	-95.13045	-88.02546	-49.391254	4.4419146	11.550301	-54.102345	-49.390953	0.1	2206982	1227.7415449619293
11	-96.725334	-96.725334	-127.90996	-49.405197	4.2723713	7.9488206	-54.12896	-49.40405	0.1	2407985	1347.4823229312897
12	-81.24476	-81.24476	-56.55936	-49.403706	4.138907	13.540659	-54.177044	-49.40208	0.1	2608990	1459.44700050354
13	-69.84662	-69.84662	-65.669685	-49.39088	4.186873	15.372346	-55.389034	-49.38971	0.2	2809984	1566.33642911911
14	-87.7508	-87.7508	-79.72242	-49.386707	4.199612	9.660393	-55.597137	-49.385593	0.0	3010991	1681.1538245677948
15	-77.35355	-77.35355	-72.92416	-49.38173	4.195849	12.837534	-55.873966	-49.38008	0.2	3211991	1797.6970245838165
16	-74.97406	-74.97406	-16.688698	-49.303555	4.3594236	10.197367	-54.59868	-49.30168	0.1	3412991	1914.2830929756165
17	-81.40614	-81.40614	-52.06642	-49.345913	3.9900563	11.311824	-54.881332	-49.34471	0.2	3613991	2035.2060849666595
18	-81.18146	-81.18146	-22.998594	-49.40165	3.8087928	8.450075	-58.22767	-49.401264	0.1	3814981	2154.6038858890533
19	-99.856514	-99.856514	-30.331762	-49.40392	3.839673	7.850001	-56.019623	-49.404366	0.0	4015991	2278.324277162552
20	-88.6636	-88.6636	-45.23352	-49.40446	4.035217	10.391951	-56.37935	-49.40544	0.1	4216981	2387.295826435089
21	-78.27438	-78.27438	-74.11264	-49.395393	4.2728443	10.679882	-54.82794	-49.397568	0.2	4417986	2501.064841747284
22	-69.55671	-69.55671	-90.47818	-49.377026	4.4550176	15.791688	-55.539364	-49.37887	0.2	4618987	2620.9754481315613
23	-65.95672	-65.95672	-58.291115	-49.36366	4.545117	13.973005	-56.189423	-49.36544	0.1	4819981	2731.1101269721985
24	-80.41674	-80.41674	-50.964745	-49.360455	4.6361246	17.558517	-54.78054	-49.362633	0.1	5020991	2848.162096977234
25	-67.34135	-67.34135	-62.440952	-49.384872	4.5904074	20.189142	-58.43019	-49.386505	0.0	5221988	2961.0974435806274
26	-76.435814	-76.435814	-16.111265	-49.35486	4.7277093	20.8495	-56.126682	-49.355072	0.2	5422991	3074.22230386734
27	-50.961708	-50.961708	-19.509768	-49.35868	4.604476	20.167862	-55.770546	-49.35835	0.3	5623991	3186.2061364650726
28	-57.314205	-57.314205	-46.57225	-49.32355	4.7329183	20.900743	-56.09144	-49.321953	0.1	5824983	3310.8572900295258
29	-46.993805	-46.993805	-45.24258	-49.308537	4.7640142	21.295948	-55.56798	-49.306797	0.0	6025986	3422.6162338256836
30	-48.41061	-48.41061	-51.684315	-49.295563	4.7875338	18.898102	-55.7841	-49.293644	0.1	6226991	3533.465089559555
31	-62.95415	-62.95415	-39.767853	-49.282936	4.695551	19.112383	-55.01835	-49.281002	0.0	6427982	3648.052694797516
32	-41.631855	-41.631855	-25.392698	-49.25523	4.7995358	20.829851	-54.141846	-49.253746	0.1	6628983	3762.6302556991577
33	-47.4292	-47.4292	-30.07514	-49.251	4.8348913	19.821972	-54.151268	-49.24925	0.0	6829988	3877.2526664733887
34	-47.8083	-47.8083	-30.407171	-49.248135	4.79449	22.316698	-56.194485	-49.246864	0.0	7030981	3993.796759366989
35	-61.355473	-61.355473	-37.78006	-49.245724	4.7501664	19.396807	-54.647575	-49.243645	0.1	7231984	4099.417033672333
36	-61.25523	-61.25523	-54.045433	-49.237453	4.7434864	17.992487	-55.39633	-49.236813	0.0	7432991	4216.619953870773
37	-54.58792	-54.58792	-79.03966	-49.212345	4.8092623	29.566767	-55.383003	-49.21059	0.1	7633985	4329.3416159152985
38	-49.731792	-49.731792	-29.395079	-49.195415	4.785354	23.454737	-55.395123	-49.19417	0.3	7834984	4445.127580881119
39	-62.819557	-62.819557	-42.67324	-49.173206	4.9170294	24.455101	-60.141594	-49.172325	0.2	8035985	4554.915126085281
40	-46.027794	-46.027794	-30.231844	-49.14268	4.9921813	22.26548	-57.763668	-49.141163	0.0	8236981	4674.658594608307
41	-50.641857	-50.641857	-33.815838	-49.139675	4.996183	28.292562	-56.795097	-49.138615	0.3	8437982	4787.012275218964
42	-58.0125	-58.0125	-24.82524	-49.116566	5.033836	20.712208	-55.916725	-49.11626	0.2	8638989	4899.782823562622
43	-60.860462	-60.860462	-34.7174	-49.097313	5.1457257	19.327433	-56.340553	-49.0961	0.1	8839984	5011.980437040329
44	-54.380028	-54.380028	-48.71851	-49.073566	5.1607814	23.022768	-56.0739	-49.073273	0.3	9040981	5118.28330373764
45	-59.77739	-59.77739	-17.523592	-49.09623	5.076177	24.591623	-58.29873	-49.0957	0.2	9241989	5231.654884815216
46	-42.505768	-42.505768	-13.715636	-49.089035	5.0788054	25.306252	-57.886078	-49.088215	0.1	9442983	5344.775654792786
47	-61.175644	-61.175644	-30.560509	-49.071342	5.0732107	24.42729	-56.91451	-49.070988	0.1	9643981	5457.161846876144
48	-31.899511	-31.899511	-48.53927	-49.037	5.1790886	22.015163	-58.191177	-49.036987	0.0	9844981	5571.031133174896
49	-56.313526	-56.313526	-8.914164	-49.05903	5.0923357	22.01425	-57.535954	-49.05854	0.2	10045991	5691.62718629837
50	-47.437355	-47.437355	-7.9731293	-49.03115	5.203535	22.69588	-57.25594	-49.030914	0.3	10246989	5808.289583206177
51	-59.062748	-59.062748	-18.694365	-49.034237	5.2323923	21.80258	-57.723907	-49.034714	0.1	10447990	5922.57643699646
52	-52.324413	-52.324413	-33.619514	-49.049084	5.178432	25.463165	-59.1522	-49.050007	0.1	10648982	6036.9711129665375
53	-65.41135	-65.41135	-49.36422	-49.024994	5.2193317	34.94984	-58.197105	-49.02577	0.3	10849991	6144.7012155056
54	-42.32813	-42.32813	-64.86492	-49.013775	5.221874	22.150223	-58.915993	-49.014874	0.0	11050985	6250.553246974945
55	-42.74001	-42.74001	-5.7969804	-49.00383	5.254069	26.253582	-59.332077	-49.003857	0.1	11251986	6364.040399551392
56	-44.308292	-44.308292	-24.916107	-48.9842	5.3469605	28.691313	-57.531376	-48.98443	0.0	11452981	6470.5931606292725
57	-56.39113	-56.39113	-4.79088	-48.983128	5.29314	29.166504	-57.486195	-48.98298	0.1	11653988	6588.884642601013
58	-53.150757	-53.150757	-35.10641	-48.965267	5.375542	23.873308	-57.456146	-48.965813	0.0	11854982	6696.608410835266
59	-67.66365	-67.66365	-51.21931	-48.970707	5.424307	20.31619	-58.443592	-48.970943	0.2	12055987	6806.993566989899
60	-52.183617	-52.183617	-24.642656	-48.978737	5.4261456	32.160168	-57.92739	-48.979626	0.2	12256981	6920.224587917328
61	-49.25167	-49.25167	-52.700096	-48.9953	5.357757	34.304745	-58.12818	-48.99649	0.1	12457989	7031.079134941101
62	-41.6145	-41.6145	-34.85548	-48.941193	5.4974937	23.038877	-58.741295	-48.942066	0.4	12658982	7141.6708652973175
63	-46.38831	-46.38831	-34.914272	-48.95111	5.4504614	26.096937	-59.95869	-48.953377	0.1	12859991	7265.385750055313
64	-44.005512	-44.005512	-29.44491	-48.937973	5.442376	24.580656	-58.62977	-48.93922	0.2	13060981	7381.973014831543
65	-42.315845	-42.315845	-39.01802	-48.910164	5.5571103	29.537258	-57.678997	-48.911705	0.4	13261984	7500.903358459473
66	-59.782883	-59.782883	-11.445725	-48.893517	5.6334815	26.75687	-57.018574	-48.89522	0.1	13462991	7606.365034341812
67	-51.316147	-51.316147	-19.161703	-48.90539	5.62331	33.320026	-56.88544	-48.9071	0.3	13663981	7725.55061006546
68	-34.821163	-34.821163	-39.125637	-48.863964	5.7689548	27.548607	-56.597233	-48.865486	0.3	13864984	7840.788939714432
69	-45.710777	-45.710777	-21.389711	-48.854816	5.828435	34.51626	-56.364193	-48.856583	0.1	14065989	7947.006824970245
70	-52.927994	-52.927994	-4.852884	-48.836704	5.825219	27.129877	-55.680416	-48.83915	0.1	14266982	8059.231281757355
71	-38.636787	-38.636787	-11.705243	-48.82762	5.882722	29.216412	-56.560455	-48.829746	0.1	14467982	8177.7714211940765
72	-48.262028	-48.262028	-61.811024	-48.791206	5.981253	32.258972	-55.472965	-48.791985	0.2	14668991	8289.219002962112
73	-39.407623	-39.407623	-33.061787	-48.79343	5.979997	39.065742	-55.779827	-48.794987	0.2	14869982	8399.627815008163
74	-62.104683	-62.104683	-37.541256	-48.766285	6.0686884	28.618763	-55.34373	-48.76756	0.2	15070982	8511.758443117142
75	-35.883095	-35.883095	-16.290144	-48.782387	6.0241456	28.436834	-55.35889	-48.784607	0.2	15271984	8619.146392583847
76	-41.950317	-41.950317	-92.94883	-48.77222	6.0534434	29.57254	-56.188133	-48.77313	0.3	15472983	8729.582533836365
77	-51.45635	-51.45635	-36.941525	-48.759914	6.1390505	27.054863	-55.363274	-48.76102	0.2	15673986	8838.13678741455
78	-61.373295	-61.373295	-28.544243	-48.747066	6.2018185	35.748245	-54.53574	-48.748135	0.4	15874988	8954.99322104454
79	-52.743507	-52.743507	-14.405727	-48.76072	6.1913137	33.069706	-54.415447	-48.762196	0.4	16075981	9061.059804916382
80	-53.943966	-53.943966	-23.26288	-48.75175	6.2312965	25.761215	-54.183537	-48.752613	0.4	16276983	9170.829342842102
81	-52.2187	-52.2187	-45.792923	-48.717293	6.3375154	38.482815	-54.488735	-48.717194	0.2	16477984	9275.001073122025
82	-43.94364	-43.94364	-11.338303	-48.73871	6.2723837	35.587208	-54.794	-48.739212	0.3	16678984	9383.055446386337
83	-31.079023	-31.079023	-52.60012	-48.72836	6.3043065	27.927963	-54.270626	-48.728027	0.1	16879983	9500.473088502884
84	-70.36507	-70.36507	-17.756926	-48.71431	6.359451	41.122936	-54.55262	-48.714832	0.1	17080991	9616.015709161758
85	-23.981455	-23.981455	-24.498152	-48.71566	6.368095	31.854023	-54.2273	-48.715927	0.3	17281982	9724.097333192825
86	-36.193897	-36.193897	-37.643204	-48.68756	6.432919	33.528343	-54.33906	-48.688244	0.3	17482981	9841.942247152328
87	-40.226345	-40.226345	-19.363283	-48.676144	6.431656	40.38282	-53.803917	-48.67602	0.3	17683982	9954.57265663147
88	-31.17088	-31.17088	-58.64957	-48.64561	6.5240955	46.720562	-54.28499	-48.645702	0.2	17884981	10064.999695539474
89	-78.552025	-78.552025	-24.360168	-48.636177	6.562554	35.999443	-54.302116	-48.63653	0.4	18085991	10183.478661060333
90	-17.977764	-17.977764	-22.510695	-48.641003	6.528778	32.86679	-53.93048	-48.641106	0.5	18286981	10298.400931835175
91	-54.282787	-54.282787	-33.786343	-48.617554	6.591296	37.470936	-56.552986	-48.61819	0.3	18487983	10410.059091567993
92	-29.030483	-29.030483	-8.150223	-48.61338	6.5745673	42.887115	-54.320137	-48.61267	0.6	18688982	10522.762626886368
93	-47.887386	-47.887386	-14.179737	-48.597275	6.6348834	35.502903	-55.010387	-48.59695	0.2	18889988	10641.260509967804
94	-39.409058	-39.409058	-31.267195	-48.57804	6.71529	42.837727	-55.565895	-48.577667	0.1	19090983	10755.497244119644
95	-28.41916	-28.41916	-26.273523	-48.543194	6.7253513	45.631565	-56.753986	-48.542744	0.3	19291982	10866.751276016235
96	-24.864292	-24.864292	-1.4241103	-48.530922	6.7638254	35.335762	-54.922787	-48.531208	0.3	19492982	10987.721991300583
97	-43.542862	-43.542862	-45.664074	-48.519653	6.806591	35.718254	-55.618034	-48.519897	0.4	19693991	11095.142712831497
98	-64.02103	-64.02103	-39.542732	-48.511353	6.8266563	37.444187	-56.925495	-48.511467	0.4	19894989	11202.778168201447
99	-49.771908	-49.771908	-24.870552	-48.498585	6.8819246	38.365044	-54.84294	-48.49909	0.3	20095985	11318.498340845108
100	-52.80362	-52.80362	-10.006946	-48.511517	6.9170494	36.365265	-54.563675	-48.51138	0.6	20296981	11426.271406412125
101	-42.447853	-42.447853	-10.571815	-48.520435	6.8536716	33.393097	-54.491676	-48.52058	0.4	20497981	11547.789752721786
102	-46.552563	-46.552563	-20.428633	-48.497597	6.9276366	37.97709	-55.442993	-48.496883	0.5	20698991	11658.414041280746
103	-17.74644	-17.74644	-18.664225	-48.492207	6.907749	38.493122	-55.174545	-48.492676	0.5	20899982	11766.64262509346
104	-65.521835	-65.521835	-14.316034	-48.472202	6.9394193	37.753956	-54.862522	-48.471478	0.2	21100988	11892.145050048828
105	-13.424194	-13.424194	-20.87207	-48.45715	6.956965	43.168663	-54.684265	-48.45662	0.3	21301981	12001.807599067688
106	-31.882526	-31.882526	-18.705654	-48.44177	6.935709	36.234432	-55.369057	-48.442234	0.3	21502985	12122.396336317062
107	-41.755505	-41.755505	-17.70787	-48.391552	7.0581584	40.499866	-55.687748	-48.391003	0.4	21703991	12231.661259412766
108	-41.930542	-41.930542	-4.645165	-48.38862	7.071368	33.021397	-55.54435	-48.3883	0.5	21904981	12343.04889035225
109	-13.813102	-13.813102	-10.5131235	-48.381516	7.088274	33.60205	-56.146687	-48.380936	0.3	22105989	12457.094433307648
