Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-8.931955	-8.931955	0.0	-6.3954234	8.383512	4.009531	-54.446552	-6.3982306	0.0	196987	113.51448345184326
1	-9.765899	-9.765899	-2.5087402	-6.283169	7.026119	3.7995884	-54.753468	-6.2845216	0.3	397991	222.51704907417297
2	-10.500754	-10.500754	-1.107563	-7.5071936	6.5472436	8.788828	-55.60583	-7.5067005	0.2	598991	332.6706368923187
3	-5.619984	-5.619984	-1.6931015	-8.750819	6.8865166	6.1686344	-57.070213	-8.7512245	0.1	799991	442.1750314235687
4	-9.797395	-9.797395	-6.6705155	-10.165208	7.687697	2.86373	-58.551327	-10.165293	0.5	1000991	556.1289196014404
5	-3.7779603	-3.7779603	-1.1995205	-11.077659	8.601791	2.8591886	-59.41809	-11.078158	0.1	1201991	672.4327254295349
6	-4.3351097	-4.3351097	-3.706578	-11.482285	7.757263	2.404401	-58.532154	-11.482881	0.1	1402991	789.384877204895
7	-5.8200293	-5.8200293	0.0	-11.763101	6.908115	2.310327	-61.043766	-11.763015	0.0	1603991	906.272656917572
8	-4.165955	-4.165955	0.0	-11.457737	6.197444	2.0896463	-58.435814	-11.458088	0.0	1804990	1020.8094005584717
9	-3.9455771	-3.9455771	-0.060547676	-11.189119	6.0657954	3.7613695	-60.530334	-11.189175	0.1	2005985	1133.5300929546356
10	-9.080124	-9.080124	-3.1654716	-10.806496	5.9474864	2.975567	-58.901714	-10.806106	0.2	2206991	1245.2998054027557
11	-7.424612	-7.424612	0.0	-10.374466	5.811254	3.318266	-60.575195	-10.374712	0.0	2407991	1357.9031052589417
12	-7.8493843	-7.8493843	-9.110097	-10.222399	5.7686915	2.4240615	-59.499786	-10.22191	0.3	2608991	1475.8413410186768
13	-8.443652	-8.443652	-3.8125253	-10.587494	6.07511	2.5019722	-82.58089	-10.5873785	0.2	2809991	1594.1447801589966
14	-8.444566	-8.444566	0.36916515	-10.899172	6.35115	2.4458997	-61.352222	-10.899997	0.2	3010991	1708.2469279766083
15	-6.8376536	-6.8376536	0.0	-11.47644	6.656773	3.5218732	-61.139896	-11.477145	0.0	3211991	1817.403974056244
16	-14.754987	-14.754987	-1.4553139	-11.806272	6.8308544	2.8911657	-60.69184	-11.806517	0.2	3412981	1932.2216262817383
17	-13.22742	-13.22742	1.0817631	-11.846915	6.94081	3.5314524	-60.776474	-11.846884	0.2	3613982	2043.7964498996735
18	-7.8401475	-7.8401475	1.6722617	-11.760402	7.0031514	3.7867603	-60.578182	-11.760871	0.2	3814991	2166.6130361557007
19	-16.445538	-16.445538	1.1421071	-11.8181715	7.1165833	4.1051183	-60.731457	-11.817942	0.3	4015991	2277.286609888077
20	-3.7505994	-3.7505994	0.0	-11.966129	7.224704	5.2759256	-63.398685	-11.966204	0.0	4216991	2388.086042881012
21	-5.323495	-5.323495	0.15237637	-12.055467	6.93401	4.8877506	-67.75939	-12.054742	0.2	4417986	2500.7704882621765
22	-5.241383	-5.241383	1.4139128	-12.232011	6.5980854	2.7093167	-73.38223	-12.231143	0.3	4618991	2616.1265738010406
23	-9.488113	-9.488113	0.3802107	-12.741937	6.5246887	2.9427683	-65.38024	-12.7410145	0.1	4819991	2733.397830247879
24	-8.620803	-8.620803	-0.9517569	-13.229447	6.5229225	2.6447427	-60.65455	-13.228856	0.2	5020983	2849.5847115516663
25	-10.315027	-10.315027	-3.9399874	-13.744829	6.7521996	4.059103	-62.577713	-13.744423	0.2	5221991	2963.605369567871
26	-4.6011024	-4.6011024	1.2531085	-14.25932	6.9278774	3.488523	-61.24871	-14.258947	0.3	5422981	3073.593578338623
27	-8.785304	-8.785304	-1.4054971	-14.847982	7.2346935	2.656238	-78.32211	-14.847877	0.1	5623991	3186.3134689331055
28	-11.409793	-11.409793	0.0	-15.52666	7.514517	3.2044468	-62.136482	-15.527379	0.0	5824991	3301.4102363586426
29	-11.054126	-11.054126	-7.585083	-16.210766	7.7657704	3.9506092	-59.345898	-16.21095	0.3	6025991	3414.9019961357117
30	-8.289314	-8.289314	-0.4555457	-16.59617	8.017137	3.4061937	-63.013554	-16.596052	0.1	6226991	3533.891590833664
31	-13.082573	-13.082573	-4.976891	-16.860334	8.304738	5.403765	-61.30582	-16.860466	0.2	6427991	3642.112220287323
32	-13.508097	-13.508097	0.019541932	-16.963375	8.509772	5.794915	-60.161713	-16.96333	0.2	6628985	3753.1317768096924
33	-20.619423	-20.619423	-1.0944445	-17.38927	8.7305765	6.618054	-60.594196	-17.388885	0.1	6829991	3867.649774312973
34	-10.841909	-10.841909	0.3733158	-17.58315	8.873561	4.1604156	-59.153305	-17.583094	0.1	7030991	3984.732306241989
35	-7.6883087	-7.6883087	0.078816414	-17.672571	8.927846	4.2455583	-62.77015	-17.671402	0.3	7231991	4092.7905156612396
36	-8.549992	-8.549992	-10.446334	-17.795944	8.9438715	5.5059977	-65.38699	-17.794785	0.2	7432991	4208.661907911301
37	-4.722054	-4.722054	-4.380871	-17.975399	9.014642	8.886595	-61.828823	-17.97492	0.1	7633986	4318.99179148674
38	-7.714148	-7.714148	-3.1167908	-18.150331	9.2160845	6.248259	-58.67559	-18.150064	0.4	7834991	4425.3175728321075
39	-7.025295	-7.025295	-25.80023	-18.369518	9.39766	7.3238063	-62.78219	-18.36971	0.4	8035982	4534.204506397247
