Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-38.011795	-38.011795	0.0	-47.76162	7.40479	0.0075636283	-51.865135	-47.675842	0.0	196981	34.82381319999695
1	-36.50273	-36.50273	0.0	-49.96596	0.15759921	-48.563427	-50.928696	-49.966	0.0	397981	73.31000113487244
2	-32.829994	-32.829994	0.0	-49.504917	1.8666488	-30.303669	-56.684837	-49.506454	1.0	598981	114.55848169326782
3	-47.8314	-47.8314	5.7196417	-49.10037	3.4393792	-17.114742	-61.074177	-49.10053	1.0	799981	156.56506943702698
4	-39.744854	-39.744854	6.4164553	-48.850163	5.015323	-10.178425	-70.05722	-48.84938	1.0	1000982	200.08871412277222
5	-46.214706	-46.214706	0.0	-49.0101	5.0917807	-4.4179945	-62.788284	-49.00933	0.0	1201981	243.7398419380188
6	-46.036366	-46.036366	0.0	-48.811974	5.345206	-3.2385755	-80.839615	-48.81197	0.0	1402981	287.1312336921692
7	-43.411022	-43.411022	6.3867497	-48.445843	6.493494	-1.259109	-96.10911	-48.448822	1.0	1603982	331.7600200176239
8	-38.95614	-38.95614	6.432439	-47.88857	8.134966	14.767283	-67.640594	-47.886417	1.0	1804981	375.8762540817261
9	-44.142887	-44.142887	6.052083	-47.66515	8.923582	8.924239	-65.17176	-47.664623	1.0	2005982	420.04339933395386
10	-43.528053	-43.528053	6.0842957	-47.635273	9.158207	10.106575	-65.74828	-47.63458	1.0	2206981	464.2696177959442
11	-45.48924	-45.48924	5.8001933	-47.650204	9.065539	10.883086	-72.08098	-47.649925	1.0	2407982	508.0199704170227
12	-44.353294	-44.353294	6.430365	-47.333878	9.293478	13.7195835	-66.11186	-47.333977	1.0	2608981	551.8795063495636
13	-44.77999	-44.77999	6.3430896	-47.532364	9.311732	16.137564	-68.17064	-47.534077	1.0	2809981	597.5469703674316
14	-44.860104	-44.860104	6.6178327	-47.617184	9.384235	15.332778	-75.57743	-47.619427	1.0	3010981	642.1173963546753
15	-47.545135	-47.545135	0.0	-47.609543	9.505045	16.307339	-71.08495	-47.6108	0.0	3211981	685.504293680191
16	-49.26552	-49.26552	0.0	-47.57539	9.578861	15.015095	-87.96064	-47.575226	0.0	3412982	726.9732091426849
17	-45.794857	-45.794857	0.0	-47.61604	9.580794	15.309517	-65.48927	-47.616257	0.0	3613981	770.1228141784668
18	-43.248	-43.248	0.0	-47.531116	9.766702	14.268151	-69.47852	-47.53012	0.0	3814982	812.5276274681091
19	-45.036446	-45.036446	0.0	-47.530537	9.8448715	15.813625	-63.899155	-47.530426	0.0	4015982	856.2240777015686
20	-42.033478	-42.033478	0.0	-47.517246	9.859607	14.565695	-69.48373	-47.517635	0.0	4216982	901.9246270656586
21	-42.25727	-42.25727	0.0	-47.51506	9.851948	14.533464	-71.80371	-47.51551	0.0	4417981	945.336104631424
