Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-38.011795	-38.011795	0.0	-47.76162	7.40479	0.0075636283	-51.865135	-47.675842	0.0	196981	28.351985454559326
1	-36.50273	-36.50273	0.0	-49.96596	0.15759921	-48.563427	-50.928696	-49.966	0.0	397981	58.48972940444946
2	-33.41129	-33.41129	0.0	-49.90364	0.38624007	-46.130463	-51.13413	-49.903664	0.0	598981	90.38375806808472
3	-29.674843	-29.674843	0.0	-49.749985	0.8368364	-43.375576	-51.710033	-49.7504	0.0	799981	123.9155125617981
4	-41.50241	-41.50241	6.061212	-49.872204	0.67625743	-39.913292	-53.363976	-49.87246	0.0	1000981	157.5562527179718
5	-35.75522	-35.75522	6.061052	-49.947945	0.33526635	-46.57181	-52.1576	-49.947876	0.0	1201981	192.45659947395325
6	-44.903942	-44.903942	6.3296585	-49.847496	1.0454715	-20.414467	-53.656082	-49.84738	0.0	1402982	227.60051274299622
7	-42.86644	-42.86644	6.152881	-49.857132	1.3615944	-21.804493	-54.714634	-49.857082	0.0	1603982	263.2755250930786
8	-44.277176	-44.277176	6.262805	-49.871273	1.260675	-21.66193	-54.20926	-49.87141	0.0	1804981	299.939950466156
9	-41.278797	-41.278797	6.3209844	-49.862896	1.247869	-22.668467	-53.828747	-49.863125	0.0	2005981	336.5051112174988
10	-43.52701	-43.52701	6.3576784	-49.861946	1.2963934	-22.36065	-57.270916	-49.861816	0.0	2206981	374.32019329071045
11	-46.033714	-46.033714	6.841882	-49.880135	1.1981064	-22.134771	-53.177788	-49.880024	0.0	2407981	412.3160705566406
12	-41.43499	-41.43499	7.3653483	-49.86791	1.1323346	-21.770788	-53.678585	-49.867718	0.0	2608981	450.4175114631653
13	-41.506237	-41.506237	7.4237137	-49.854927	1.0490097	-22.823532	-53.741653	-49.854897	0.0	2809982	489.36041498184204
14	-44.332497	-44.332497	7.285765	-49.85979	1.055586	-22.148079	-58.74272	-49.85979	0.0	3010982	527.7199273109436
15	-48.975784	-48.975784	7.2649856	-49.869617	0.98086923	-22.18144	-55.0302	-49.86951	0.0	3211981	566.9944770336151
