Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-163.7336	-163.7336	-109.93054	-48.82673	6.4771767	0.010513656	-92.42639	-48.835873	0.0	196983	59.08000707626343
1	-159.01703	-159.01703	-87.6027	-49.96674	0.45648935	-42.16838	-56.72988	-49.967117	0.0	397985	120.15384936332703
2	-140.41927	-140.41927	-29.26258	-49.94322	0.6763842	-36.21305	-56.595993	-49.94308	0.0	598981	180.5078947544098
3	-160.93588	-160.93588	-118.05508	-49.91684	0.86845064	-33.10545	-53.42532	-49.916832	0.0	799981	247.24902772903442
4	-172.1229	-172.1229	-86.723785	-49.930622	0.76465255	-33.943604	-59.19963	-49.93056	0.0	1000981	312.40467166900635
5	-150.50832	-150.50832	-185.61159	-49.93428	0.7137779	-34.342625	-59.21647	-49.93434	0.0	1201981	378.65702986717224
6	-185.1579	-185.1579	-172.9842	-49.924927	0.7208127	-34.146687	-55.85182	-49.924957	0.0	1402981	447.4376230239868
7	-165.48598	-165.48598	-109.05896	-49.93079	0.67672694	-36.403202	-55.436443	-49.930573	0.0	1603981	515.3797624111176
8	-162.96776	-162.96776	-186.66684	-49.923836	0.73136026	-35.73471	-55.57021	-49.92385	0.0	1804982	588.1201057434082
9	-177.50119	-177.50119	-85.15454	-49.912735	0.7639594	-36.69266	-62.422962	-49.912617	0.0	2005987	658.8759081363678
10	-170.7068	-170.7068	-60.66804	-49.90304	0.81005335	-36.939816	-53.135315	-49.90305	0.0	2206981	734.6466875076294
11	-169.7183	-169.7183	-152.54074	-49.904472	0.80239916	-36.270702	-64.74459	-49.904396	0.0	2407982	812.9800012111664
12	-162.42647	-162.42647	-71.740425	-49.90724	0.7995944	-36.13105	-54.179615	-49.90729	0.0	2608982	889.7812869548798
13	-169.61261	-169.61261	-98.51203	-49.90952	0.7907447	-35.214138	-58.254486	-49.909573	0.0	2809982	960.1114270687103
14	-146.72774	-146.72774	-172.7764	-49.90968	0.7807394	-35.186596	-52.44342	-49.909683	0.0	3010982	1030.802981853485
15	-156.21992	-156.21992	-144.40579	-49.91467	0.7750893	-34.337738	-66.57767	-49.91476	0.0	3211981	1102.1720690727234
16	-132.67615	-132.67615	-195.42984	-49.919594	0.7416409	-34.563282	-54.235912	-49.919586	0.0	3412981	1172.4062197208405
17	-167.46716	-167.46716	-171.54028	-49.92155	0.7388302	-34.487015	-54.14519	-49.921635	0.0	3613981	1243.240611076355
18	-161.28831	-161.28831	-302.8982	-49.922466	0.72897273	-33.740036	-54.963432	-49.922478	0.0	3814981	1313.4593300819397
19	-154.13162	-154.13162	-215.71109	-49.92387	0.7261585	-32.85311	-52.758976	-49.92398	0.0	4015981	1383.7821080684662
20	-153.4372	-153.4372	-193.49507	-49.926903	0.70442885	-33.265575	-52.316257	-49.926937	0.0	4216981	1453.973486661911
21	-178.31001	-178.31001	-246.62569	-49.929066	0.6881111	-34.470043	-70.56407	-49.929188	0.0	4417982	1524.4769752025604
22	-156.57303	-156.57303	-126.81115	-49.93037	0.6725953	-35.206398	-54.55377	-49.93043	0.0	4618982	1595.1300735473633
23	-149.6464	-149.6464	-242.67812	-49.93212	0.6599039	-35.58161	-53.233326	-49.932133	0.0	4819982	1666.189977645874
24	-166.0665	-166.0665	-239.34082	-49.928135	0.68529195	-35.937534	-58.69913	-49.928196	0.0	5020981	1736.729840040207
25	-149.00394	-149.00394	-127.279755	-49.926647	0.70343786	-35.34852	-58.971085	-49.926792	0.0	5221983	1807.2027881145477
26	-150.04384	-150.04384	-189.97052	-49.92741	0.6961074	-35.57569	-54.162178	-49.92752	0.0	5422982	1877.2304782867432
27	-167.63174	-167.63174	-384.50583	-49.92485	0.7063139	-36.62424	-53.88981	-49.92491	0.0	5623984	1947.1150064468384
28	-163.91539	-163.91539	-268.94702	-49.927925	0.69405806	-36.45158	-58.790054	-49.927994	0.0	5824981	2017.8130745887756
29	-159.74792	-159.74792	-309.81363	-49.927647	0.68710995	-36.658493	-53.380943	-49.92773	0.0	6025985	2088.6532051563263
30	-156.3267	-156.3267	-192.05367	-49.92595	0.6965217	-37.90545	-55.138752	-49.926086	0.0	6226986	2158.7129957675934
31	-161.52655	-161.52655	-391.88162	-49.92818	0.69277006	-37.23737	-58.3837	-49.92818	0.0	6427982	2228.9864177703857
32	-152.75703	-152.75703	-534.6696	-49.924976	0.70814925	-37.342316	-54.537163	-49.92496	0.0	6628984	2299.752545118332
33	-158.29561	-158.29561	-414.82297	-49.92565	0.70096207	-37.346046	-54.722378	-49.92579	0.0	6829983	2370.7633566856384
34	-150.0659	-150.0659	-365.39465	-49.930084	0.6868017	-37.215973	-53.9153	-49.93016	0.0	7030981	2441.587244749069
35	-158.78627	-158.78627	-315.91812	-49.92886	0.69452745	-37.428	-56.33016	-49.92899	0.0	7231984	2512.0824444293976
36	-147.17224	-147.17224	-431.91013	-49.92802	0.69924265	-37.200794	-54.492107	-49.92804	0.0	7432981	2582.905224084854
37	-133.35909	-133.35909	-299.263	-49.930965	0.6850719	-32.54179	-57.66038	-49.931057	0.0	7633981	2653.5929296016693
38	-156.08153	-156.08153	-322.658	-49.93047	0.6776289	-36.963715	-55.36339	-49.930534	0.0	7834981	2724.621656894684
39	-151.83717	-151.83717	-560.9736	-49.930336	0.67792743	-37.900238	-53.8691	-49.930305	0.0	8035985	2795.0317084789276
40	-148.41025	-148.41025	-486.97208	-49.93066	0.67202604	-37.055782	-53.96156	-49.930866	0.0	8236983	2866.455057859421
41	-138.21645	-138.21645	-569.39905	-49.93127	0.6697806	-38.06275	-54.254326	-49.931156	0.0	8437981	2937.471029281616
42	-134.2983	-134.2983	-824.05334	-49.933453	0.65965724	-38.322666	-53.375957	-49.933475	0.0	8638983	3008.168757200241
43	-139.86877	-139.86877	-533.656	-49.93213	0.67124844	-37.793106	-53.320324	-49.93211	0.0	8839981	3078.544182538986
44	-140.68814	-140.68814	-394.2261	-49.934547	0.6447692	-38.015125	-53.421677	-49.934692	0.0	9040982	3149.0907485485077
45	-159.83725	-159.83725	-479.1535	-49.93649	0.64059556	-38.013706	-52.47529	-49.93642	0.0	9241984	3220.327222585678
46	-145.70168	-145.70168	-569.0696	-49.934727	0.64525086	-38.147324	-53.597946	-49.934875	0.0	9442981	3291.3248953819275
