Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-134.34578	-134.34578	-32.62576	-47.308933	7.4423	-0.08698787	-102.24859	-47.308933	0.0	196981	42.52822494506836
1	-196.40529	-196.40529	-52.138046	-49.675385	2.0535238	-23.770157	-61.248062	-49.675385	0.0	397982	81.16629457473755
2	-146.59447	-146.59447	-70.58514	-49.534523	2.7066715	-20.824303	-58.699966	-49.534523	0.0	598983	125.74544763565063
3	-155.64969	-155.64969	-101.535515	-49.660812	2.082187	-25.569454	-58.06619	-49.660812	0.0	799985	169.09855318069458
4	-160.2775	-160.2775	-60.922623	-49.736004	1.5730432	-33.7454	-55.679935	-49.736004	0.0	1000985	212.47116565704346
5	-155.50095	-155.50095	-84.4855	-49.539444	2.8901088	2.163117	-56.939247	-49.539444	0.0	1201981	259.7189075946808
6	-144.5024	-144.5024	-46.18094	-49.51394	3.0766642	2.6289797	-53.789177	-49.51394	0.0	1402983	305.5612099170685
7	-149.56763	-149.56763	-51.774734	-49.551674	2.8856714	2.5825613	-58.684216	-49.551674	0.0	1603985	353.295330286026
8	-141.83194	-141.83194	-52.62036	-49.582024	2.62582	3.8396647	-54.964397	-49.582024	0.0	1804981	401.3927710056305
9	-147.18228	-147.18228	-50.830322	-49.59942	2.5167782	3.8885653	-60.757244	-49.59942	0.0	2005986	451.81833004951477
10	-150.49937	-150.49937	-56.631668	-49.603874	2.4061785	3.2223573	-54.089268	-49.603874	0.0	2206988	501.1738178730011
11	-150.68228	-150.68228	-72.304634	-49.559555	2.4461203	2.395218	-54.452805	-49.559555	0.0	2407982	551.2971341609955
12	-164.53291	-164.53291	-85.1091	-49.561985	2.3509495	3.5682096	-56.68116	-49.561985	0.0	2608984	604.2484197616577
13	-150.63718	-150.63718	-106.41191	-49.569992	2.2439587	2.9657352	-55.512768	-49.569992	0.0	2809983	655.4965274333954
14	-158.66972	-158.66972	-66.895805	-49.56513	2.2316844	3.8440497	-55.293682	-49.56513	0.0	3010982	706.5813207626343
15	-162.68451	-162.68451	-68.07545	-49.51447	2.4996116	3.9707527	-55.70519	-49.51447	0.0	3211981	757.6533370018005
16	-150.39813	-150.39813	-112.992355	-49.498905	2.554932	4.5772963	-53.139324	-49.498905	0.0	3412981	808.6205570697784
17	-167.02307	-167.02307	-72.850426	-49.49725	2.515561	4.886022	-58.968536	-49.49725	0.0	3613982	860.3280084133148
18	-155.19547	-155.19547	-47.740795	-49.507805	2.464435	4.7382402	-55.41307	-49.507805	0.0	3814981	911.8733167648315
19	-165.20262	-165.20262	-60.61278	-49.51244	2.4574394	4.2460303	-56.312187	-49.51244	0.0	4015981	963.2127287387848
20	-161.14081	-161.14081	-84.605865	-49.507183	2.3496745	4.6272817	-53.230255	-49.507183	0.0	4216982	1015.8220825195312
21	-160.6164	-160.6164	-36.811058	-49.49571	2.3834338	5.205329	-53.02864	-49.49571	0.0	4417984	1067.7518265247345
22	-144.79388	-144.79388	-57.535446	-49.497982	2.2979448	6.642452	-53.925533	-49.497982	0.0	4618981	1120.2920780181885
23	-150.85704	-150.85704	-100.203415	-49.482937	2.3144295	3.4922194	-56.672367	-49.482937	0.0	4819981	1172.646832704544
24	-151.58937	-151.58937	-75.78317	-49.482388	2.3153434	3.643635	-52.96098	-49.482388	0.0	5020984	1224.625525712967
