Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-177.52196	-177.52196	-161.2121	-47.630146	7.1584044	-0.08133515	-101.98246	-47.653423	0.0	196982	104.93535947799683
1	-176.46887	-176.46887	-46.774136	-49.57353	3.0746794	-8.425841	-68.26502	-49.57406	0.0	397984	215.67907643318176
2	-175.54999	-175.54999	-91.079666	-49.718838	1.6673187	-12.419028	-78.85576	-49.719112	0.0	598982	327.9303753376007
3	-169.18417	-169.18417	-111.013176	-49.763416	1.1595812	-36.25132	-58.140224	-49.7637	0.0	799981	446.2528338432312
4	-162.25159	-162.25159	-67.09692	-49.74061	1.2566526	-35.994877	-55.472954	-49.740738	0.1	1000983	550.9269950389862
5	-176.91045	-176.91045	-118.10027	-49.76685	1.1735014	-35.52275	-56.84535	-49.766922	0.0	1201985	659.9577305316925
6	-175.0284	-175.0284	-119.072624	-49.769833	1.1265106	-36.19979	-64.69257	-49.7698	0.0	1402983	782.9398305416107
7	-182.39825	-182.39825	-166.34776	-49.792717	1.0184404	-37.49054	-61.32134	-49.792625	0.0	1603982	906.7496976852417
8	-197.31647	-197.31647	-221.62784	-49.736607	1.4311699	0.347755	-54.268295	-49.736916	0.0	1804986	1024.049255847931
9	-204.42578	-204.42578	-126.763306	-49.726143	1.7789167	1.6873652	-75.801575	-49.726612	0.0	2005983	1123.921975851059
10	-195.7125	-195.7125	-145.4904	-49.72913	1.7411562	2.2986743	-53.161057	-49.729187	0.0	2206983	1224.8169162273407
11	-199.38504	-199.38504	-148.07631	-49.727562	1.6699022	2.7450058	-53.93609	-49.72756	0.0	2407984	1322.9729359149933
12	-194.02106	-194.02106	-118.48164	-49.726295	1.6304475	3.0369875	-54.255386	-49.72665	0.0	2608982	1421.0698583126068
13	-179.24823	-179.24823	-135.10658	-49.73396	1.5614765	3.3439991	-52.12421	-49.734097	0.2	2809982	1520.9283773899078
14	-202.67862	-202.67862	-163.11494	-49.720127	1.5901793	3.1348455	-53.417706	-49.720264	0.0	3010987	1623.8200142383575
15	-193.42091	-193.42091	-88.63796	-49.709003	1.5548413	2.9889085	-52.970516	-49.709263	0.1	3211984	1727.4533121585846
16	-194.36319	-194.36319	-161.67511	-49.71924	1.5337155	5.0068717	-54.85129	-49.719616	0.0	3412983	1825.3894562721252
17	-201.8165	-201.8165	-117.81753	-49.70361	1.5897579	4.226363	-54.06193	-49.703873	0.0	3613985	1922.9385378360748
18	-202.56349	-202.56349	-55.37955	-49.69761	1.562401	4.7764444	-53.79184	-49.69773	0.0	3814982	2017.1245396137238
19	-185.14258	-185.14258	-76.1282	-49.679604	1.6375439	6.2313585	-56.085262	-49.679764	0.1	4015985	2113.5606718063354
20	-170.45747	-170.45747	-107.15687	-49.674366	1.5879879	5.7060313	-56.270893	-49.67434	0.0	4216985	2205.7357318401337
21	-203.33727	-203.33727	-138.14667	-49.646763	1.6370174	6.0573864	-55.40411	-49.6467	0.0	4417982	2295.489014148712
22	-192.50577	-192.50577	-122.57453	-49.62782	1.6729386	6.5094047	-60.778076	-49.627876	0.1	4618984	2384.5241515636444
23	-207.24806	-207.24806	-73.14562	-49.627914	1.6472064	9.743616	-56.15265	-49.627907	0.1	4819982	2473.8026072978973
24	-192.18723	-192.18723	-122.96485	-49.61565	1.6798675	6.391346	-53.44145	-49.61555	0.0	5020983	2563.096180200577
25	-216.83914	-216.83914	-133.22717	-49.600758	1.7335653	4.6913924	-57.213737	-49.601093	0.0	5221982	2652.1333994865417
