Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-723.7071	-723.7071	-1136.3109	-47.67051	8.714816	-0.1264331	-237.78447	-47.68361	0.0	196986	140.18914651870728
1	-959.5444	-959.5444	-956.6767	-49.790066	1.1830299	-28.041416	-55.93357	-49.790573	0.0	398001	273.7247507572174
2	-970.5316	-970.5316	-999.6233	-49.80958	1.2090648	-20.8283	-55.73215	-49.809757	0.0	599001	408.0601189136505
3	-822.90686	-822.90686	-468.7126	-49.81369	1.367206	-13.769111	-57.09141	-49.813786	0.0	799984	540.4033319950104
4	-705.1417	-705.1417	-292.60223	-49.79469	1.6516997	4.0987344	-56.863113	-49.794735	0.0	1000985	672.873473405838
5	-691.736	-691.736	-739.35956	-49.793446	1.7607238	15.25168	-55.853275	-49.793564	0.0	1202001	805.4243333339691
6	-927.10406	-927.10406	-720.58014	-49.798626	1.7217535	14.921335	-54.76494	-49.79889	0.0	1403001	937.8920648097992
7	-852.3649	-852.3649	-436.81317	-49.816696	1.5478425	15.737995	-54.904823	-49.816597	0.0	1604001	1070.1376931667328
8	-738.7205	-738.7205	-504.33652	-49.825813	1.44975	14.811809	-54.15365	-49.825684	0.0	1804982	1201.5317285060883
9	-719.31494	-719.31494	-536.31256	-49.83094	1.4073199	15.60121	-57.75233	-49.83102	0.0	2006000	1333.9358806610107
10	-974.34576	-974.34576	-1154.9873	-49.83181	1.3500351	6.4678855	-54.472397	-49.831734	0.0	2206993	1465.127557516098
11	-1031.5312	-1031.5312	-836.0928	-49.838688	1.1737336	23.069914	-55.076633	-49.83895	0.0	2408001	1596.6956293582916
12	-1103.0835	-1103.0835	-1131.9872	-49.844368	0.98599315	-22.673206	-55.850918	-49.844456	0.0	2609001	1728.2726242542267
13	-1103.3676	-1103.3676	-882.5998	-49.846943	0.9727042	-21.720821	-54.78533	-49.84708	0.0	2810001	1859.918066740036
14	-999.5839	-999.5839	-873.5061	-49.85002	0.9397208	-20.646175	-60.564472	-49.849976	0.0	3011001	1991.9933276176453
15	-802.80414	-802.80414	-1028.8961	-49.850533	0.9320764	-23.532787	-53.903355	-49.85056	0.0	3211993	2123.004568338394
16	-1001.6956	-1001.6956	-1053.7719	-49.85267	0.92391044	-26.18237	-55.662327	-49.85272	0.0	3412990	2253.851282596588
17	-904.4705	-904.4705	-711.02014	-49.85782	0.8980678	-30.09987	-54.343403	-49.857834	0.0	3613982	2385.1765530109406
18	-865.2946	-865.2946	-612.22076	-49.856163	0.9142251	-29.322906	-56.01138	-49.856007	0.0	3814999	2516.2764480113983
19	-839.5084	-839.5084	-822.5605	-49.856064	0.9033954	-28.410515	-57.084602	-49.856083	0.0	4015987	2646.7539734840393
20	-839.39	-839.39	-166.21489	-49.855476	0.89864004	-29.08934	-57.44685	-49.855526	0.0	4216994	2778.065991640091
21	-338.791	-338.791	0.0	-49.856216	0.88525534	-29.453074	-58.076984	-49.856003	0.0	4417984	2907.380141735077
22	-633.13403	-633.13403	-908.51794	-49.854664	0.8986151	-30.139324	-58.671974	-49.85471	0.0	4619001	3038.2664234638214
23	-934.7431	-934.7431	-626.14856	-49.853844	0.89171225	-32.22514	-54.45828	-49.85358	0.0	4820001	3169.7121205329895
24	-793.88837	-793.88837	-672.88116	-49.85096	0.9044758	-23.908833	-54.26071	-49.850903	0.0	5020985	3300.561516523361
25	-845.0009	-845.0009	-705.9941	-49.852364	0.9042434	-22.068438	-53.22958	-49.85211	0.0	5222000	3431.8074762821198
26	-826.0084	-826.0084	-141.94937	-49.852615	0.89909357	-19.285847	-53.436546	-49.852406	0.0	5423001	3562.1476759910583
27	-645.7102	-645.7102	-528.89795	-49.850315	0.9070603	-16.87908	-53.536823	-49.85016	0.0	5623982	3691.9983534812927
28	-801.4163	-801.4163	-256.05145	-49.851414	0.8985417	-16.699064	-53.627552	-49.851303	0.0	5824984	3822.457615852356
29	-700.3702	-700.3702	-1005.84393	-49.852406	0.8928899	-24.949432	-54.63988	-49.85215	0.0	6026001	3953.5622589588165
30	-756.74646	-756.74646	-825.93085	-49.85433	0.8812448	-23.89196	-54.31889	-49.854168	0.0	6227001	4085.2545816898346
31	-698.6554	-698.6554	-299.5116	-49.853096	0.8837085	-25.165838	-53.266148	-49.85288	0.0	6427983	4215.951312303543
32	-745.6421	-745.6421	-432.36862	-49.85239	0.8822508	-25.21502	-53.206795	-49.852127	0.0	6629001	4346.72639465332
33	-715.6793	-715.6793	-401.35938	-49.847992	0.89225274	-21.752184	-54.076935	-49.847733	0.0	6829988	4477.912919282913
34	-590.3196	-590.3196	-187.87119	-49.846046	0.90308136	-19.376308	-54.52044	-49.845795	0.0	7030983	4607.488351106644
35	-479.7832	-479.7832	-143.2372	-49.847984	0.9033151	-23.80375	-53.70857	-49.847755	0.0	7231982	4736.770557641983
36	-587.8033	-587.8033	-137.67345	-49.85261	0.87858224	-28.93633	-53.499813	-49.852245	0.0	7432982	4867.251905441284
37	-448.55603	-448.55603	-87.98511	-49.85244	0.88035196	-27.403107	-53.092308	-49.852264	0.0	7633982	4997.199258565903
38	-484.2404	-484.2404	-146.428	-49.8487	0.90210646	-25.699224	-52.668167	-49.848446	0.0	7834982	5126.3946621418
