Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-102.35511	-102.35511	0.0	-49.07376	6.316758	-0.1019436	-63.80494	-49.10969	0.0	196981	72.71473503112793
1	-96.22715	-96.22715	0.0	-49.999996	0.014824002	-49.711456	-50.87002	-50.00001	0.0	397981	147.98849177360535
2	-97.92027	-97.92027	0.0	-49.99999	0.014520059	-49.5868	-50.53249	-49.999996	0.0	598981	225.88223385810852
3	-49.249557	-49.249557	0.0	-49.8811	0.5604756	-45.60319	-51.66891	-49.88105	0.0	799981	303.2935001850128
4	-112.19103	-112.19103	0.96063006	-49.872887	0.47054294	-37.277687	-70.315796	-49.87256	0.0	1000982	376.72476053237915
5	-96.194855	-96.194855	-118.30069	-49.49176	2.7642224	0.29927713	-57.4215	-49.491726	0.0	1201982	450.3447117805481
6	-110.05991	-110.05991	0.0	-49.502808	2.8902469	0.50554144	-53.698143	-49.50258	0.0	1402981	527.3822894096375
7	-106.36555	-106.36555	0.0	-49.380398	2.972533	0.6311212	-57.433857	-49.380096	0.0	1603981	605.0978746414185
8	-98.95767	-98.95767	3.4658163	-49.4007	2.538035	-6.8664837	-58.621098	-49.4005	0.0	1804982	685.2320444583893
9	-57.61602	-57.61602	2.9905565	-48.965622	2.9338765	-13.362302	-58.1336	-48.965557	0.0	2005982	762.3678658008575
10	-108.13083	-108.13083	6.5613956	-48.908875	3.1221516	0.006441675	-60.911217	-48.90917	0.0	2206981	841.8089821338654
11	-115.95804	-115.95804	-8.026456	-49.276527	2.415062	-1.736373	-67.03593	-49.27687	0.0	2407982	918.8989238739014
12	-99.35982	-99.35982	5.542229	-49.281975	2.113921	-10.645778	-58.954735	-49.28174	0.0	2608983	1000.292254447937
13	-119.72132	-119.72132	6.037494	-49.13427	2.3753188	0.8035827	-68.6408	-49.13374	0.0	2809981	1080.6616473197937
14	-114.224655	-114.224655	6.5761876	-48.889854	2.8063402	1.2882609	-58.361694	-48.889515	0.0	3010983	1172.1502268314362
15	-108.91403	-108.91403	7.380542	-48.746944	2.8646188	-0.87916297	-57.31222	-48.74683	0.0	3211983	1253.081776380539
16	-117.90608	-117.90608	6.5613527	-48.80324	2.6777415	-6.7703347	-60.408024	-48.80314	0.0	3412981	1350.8606414794922
17	-129.85089	-129.85089	6.7718754	-48.756683	2.7609205	0.553352	-65.36112	-48.756542	0.0	3613983	1441.5113310813904
18	-124.59985	-124.59985	7.035478	-48.80265	2.4475505	-11.950377	-54.113815	-48.802467	0.0	3814981	1547.2033648490906
19	-114.16686	-114.16686	7.432642	-48.81908	2.309297	-32.23092	-61.227104	-48.81912	0.0	4015983	1663.0085363388062
20	-117.056046	-117.056046	7.522398	-48.73231	2.377885	-37.60309	-54.61786	-48.73191	0.0	4216983	1758.6028468608856
21	-111.47776	-111.47776	7.890593	-48.68946	2.4116814	-36.481068	-55.408634	-48.68958	0.0	4417983	1849.4947152137756
22	-128.84924	-128.84924	5.786655	-48.65215	2.4538245	-36.64155	-55.08295	-48.6523	0.0	4618981	1926.7977232933044
23	-111.84894	-111.84894	7.813428	-48.462463	2.8162842	-36.47037	-55.956318	-48.46244	0.0	4819982	2006.9504480361938
24	-111.43916	-111.43916	7.817923	-48.62655	2.4957786	-37.59486	-60.254536	-48.626328	0.0	5020983	2091.209607362747
25	-109.29118	-109.29118	8.210069	-48.63888	2.456792	-37.327267	-62.73369	-48.63881	0.0	5221983	2170.3790769577026
26	-118.010765	-118.010765	7.973463	-48.432682	2.7985158	-35.859432	-55.25208	-48.432644	0.0	5422981	2250.998854160309
27	-114.19295	-114.19295	8.076079	-48.498703	2.6434612	-36.706055	-55.710537	-48.49862	0.0	5623983	2332.9193601608276
28	-107.71073	-107.71073	8.289969	-48.44425	2.6958435	-37.968285	-55.538284	-48.444077	0.0	5824983	2413.518716573715
29	-115.48727	-115.48727	8.497576	-48.361202	2.8186834	-38.41448	-56.80562	-48.36128	0.0	6025983	2496.325904607773
30	-123.66246	-123.66246	8.448554	-48.370453	2.7890851	-38.35661	-70.57348	-48.37041	0.0	6226982	2574.5764684677124
31	-117.16824	-117.16824	8.407081	-48.3417	2.8180513	-38.33697	-71.26836	-48.341595	0.0	6427982	2657.4179759025574
32	-120.504265	-120.504265	8.866563	-48.32027	2.8556757	-37.332226	-57.99733	-48.32001	0.0	6628983	-567990860.7146125
33	-110.81936	-110.81936	8.857552	-48.332066	2.8418307	-37.317245	-57.479984	-48.331993	0.0	6829983	-567990765.7135131
34	-116.67413	-116.67413	8.637213	-48.392906	2.749267	-35.15825	-58.080276	-48.392838	0.0	7030981	-567990671.1679947
35	-104.16466	-104.16466	8.610696	-48.372833	2.8053346	-37.17214	-55.428505	-48.372864	0.0	7231981	-567990582.0129764
36	-109.92157	-109.92157	8.687883	-48.597507	2.4853387	-38.211357	-56.039745	-48.59759	0.0	7432983	-567990493.1910636
37	-97.2249	-97.2249	8.328284	-48.354103	2.803944	-35.917408	-55.145782	-48.35396	0.0	7633981	-567990400.1744549
38	-121.41323	-121.41323	8.850814	-48.317535	2.8359156	-35.012836	-65.13379	-48.317245	0.0	7834982	-567990311.5158384
39	-99.52301	-99.52301	8.838125	-48.29145	2.8931253	-34.734917	-57.53249	-48.291576	0.0	8035981	-567990222.4286091
40	-95.64904	-95.64904	8.864272	-48.17296	3.0687275	-34.987476	-55.76529	-48.17274	0.0	8236982	-567990133.674639
41	-106.17014	-106.17014	9.312064	-48.183487	3.0571525	-35.157963	-56.70707	-48.183346	0.0	8437983	-567990044.8139963
42	-84.05405	-84.05405	9.106065	-48.193695	3.0136433	-35.359364	-55.553905	-48.193672	0.0	8638981	-567989956.667645
43	-86.12661	-86.12661	9.087613	-47.95349	3.367412	-34.48186	-58.68197	-47.953213	0.0	8839982	-567989869.0856175
44	-71.32995	-71.32995	9.0170145	-47.980976	3.3283958	-32.0414	-56.702568	-47.980995	0.0	9040983	-567989777.3893683
45	-114.03759	-114.03759	-38.972034	-48.054165	3.2487247	-28.237576	-55.888023	-48.053852	0.0	9241981	-567989680.5646548
46	-143.15868	-143.15868	-67.593864	-48.304825	2.8710768	-26.351954	-55.17791	-48.30497	0.0	9442984	-567989590.4823403
47	-136.05408	-136.05408	-59.33019	-48.407345	2.6881523	-36.72168	-54.80115	-48.40732	0.0	9643981	-567989496.764456
48	-142.00801	-142.00801	9.807517	-48.192936	2.9507875	-35.094875	-55.845367	-48.192635	0.0	9844983	4231.949359893799
49	-120.7272	-120.7272	9.287069	-47.93238	3.297344	-35.510693	-55.508545	-47.932407	0.0	10045982	4312.840391635895
50	-134.03276	-134.03276	9.308767	-48.07047	3.106509	-35.812923	-57.76708	-48.070316	0.0	10246983	4393.9425094127655
51	-116.31416	-116.31416	9.477637	-47.983524	3.233937	-32.287228	-55.76235	-47.983253	0.0	10447983	4475.53688287735
52	-128.98116	-128.98116	9.444304	-48.018867	3.1714396	-27.389008	-59.83115	-48.018803	0.0	10648983	4551.711307287216
53	-138.39487	-138.39487	9.485178	-47.95538	3.2668588	-36.282204	-56.643	-47.95558	0.0	10849981	4632.4802942276
54	-131.34914	-131.34914	9.321777	-47.9788	3.2712753	-35.21429	-56.841656	-47.978592	0.0	11050984	4713.127494335175
55	-131.99727	-131.99727	9.651071	-48.034977	3.1709027	-33.09479	-57.28363	-48.034786	0.0	11251981	4792.725471496582
