Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-712.73267	-712.73267	-485.4786	-47.712803	7.262738	-0.112765	-142.89397	-47.724777	0.0	196991	76.66450238227844
1	-644.8437	-644.8437	-463.46942	-49.796722	1.6277572	-1.9661566	-61.60837	-49.797405	0.0	397991	152.96345901489258
2	-671.291	-671.291	-742.9733	-49.77702	1.8749393	3.4723973	-60.495506	-49.77752	0.0	598989	239.41464376449585
3	-732.7992	-732.7992	-561.1932	-49.80022	1.7142719	6.1471643	-55.714222	-49.80032	0.0	799990	319.0566065311432
4	-646.81036	-646.81036	-391.56104	-49.820915	1.5830461	6.033539	-56.604916	-49.820984	0.0	1000981	396.69159388542175
5	-505.98996	-505.98996	-526.4645	-49.825394	1.4855056	9.039801	-56.30366	-49.825623	0.0	1201989	475.13258504867554
6	-599.16675	-599.16675	-401.37207	-49.830902	1.4527643	9.737175	-58.04328	-49.830967	0.0	1402991	552.968674659729
7	-550.908	-550.908	-484.98593	-49.836025	1.3082712	10.8441925	-57.248116	-49.83605	0.0	1603991	628.7633402347565
8	-605.1837	-605.1837	-529.0892	-49.8245	1.3678595	8.5210705	-56.118896	-49.82453	0.0	1804991	705.6004400253296
9	-569.86206	-569.86206	-664.66205	-49.83143	1.2699412	10.893426	-57.461742	-49.83146	0.0	2005991	784.7817318439484
10	-576.4804	-576.4804	-607.8378	-49.83623	1.2705098	9.389512	-55.182728	-49.836212	0.0	2206987	860.5812039375305
11	-642.72314	-642.72314	-564.79156	-49.84026	1.2404262	6.523583	-57.6713	-49.840015	0.0	2407991	939.608969449997
12	-552.23474	-552.23474	-504.30548	-49.839897	1.1831114	6.611282	-57.01208	-49.83983	0.0	2608991	1017.2725546360016
13	-590.52124	-590.52124	-592.4947	-49.83248	1.2424688	7.792615	-55.840633	-49.83223	0.0	2809986	1100.1153519153595
14	-636.2572	-636.2572	-590.4528	-49.83653	1.246293	9.083196	-57.481876	-49.836567	0.0	3010991	1181.273799419403
15	-606.84705	-606.84705	-447.58105	-49.84175	1.213061	7.851831	-54.709698	-49.841686	0.0	3211984	1259.3578333854675
16	-563.53345	-563.53345	-446.94504	-49.84638	1.1548768	6.4345703	-55.203255	-49.846413	0.0	3412987	1339.6441204547882
17	-642.872	-642.872	-585.9287	-49.845554	1.1391159	12.042821	-54.23704	-49.84583	0.0	3613991	1417.546070098877
18	-492.19864	-492.19864	-312.1782	-49.84476	1.1461865	7.6839166	-54.369133	-49.844765	0.0	3814981	1494.643877506256
19	-539.2487	-539.2487	-540.991	-49.848145	1.1415359	9.463441	-53.95502	-49.848305	0.0	4015981	1573.7088532447815
20	-515.1602	-515.1602	-548.41205	-49.846676	1.113995	14.388122	-56.195282	-49.846577	0.0	4216984	1659.0749578475952
21	-579.6462	-579.6462	-549.9218	-49.84478	1.1299453	9.804622	-55.31609	-49.844902	0.0	4417991	1743.4926311969757
22	-537.36346	-537.36346	-553.9897	-49.847992	1.1047912	6.6520033	-59.56884	-49.84794	0.0	4618982	1826.6154074668884
23	-541.18414	-541.18414	-321.5251	-49.84663	1.1153013	9.889726	-54.35714	-49.846485	0.0	4819984	1906.95188331604
24	-474.36304	-474.36304	-330.66965	-49.8514	1.0783777	4.932912	-53.649185	-49.8516	0.0	5020987	1984.7574529647827
25	-566.8697	-566.8697	-587.95215	-49.84436	1.109696	8.4599695	-54.889797	-49.84417	0.0	5221991	2064.974024295807
26	-561.7545	-561.7545	-463.5194	-49.849	1.0653257	8.9465	-57.345978	-49.848984	0.0	5422989	2141.3420293331146
