Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-72.69478	-72.69478	-99.03096	-40.775433	12.407754	0.036938462	-55.682217	-40.77972	0.0	196982	127.96689033508301
1	-99.602165	-99.602165	-75.35799	-49.99273	0.33960357	-44.775803	-53.296173	-49.992218	0.0	397991	257.99323201179504
2	-93.48658	-93.48658	-73.616905	-49.973927	0.37612927	-42.610203	-52.628063	-49.97376	0.0	598991	395.0375771522522
3	-89.453094	-89.453094	-20.034615	-49.856983	1.1300232	-6.8960505	-54.51076	-49.85757	0.0	799982	522.4418969154358
4	-69.08745	-69.08745	-34.06056	-49.578144	2.5959697	0.67019886	-56.606052	-49.578255	0.2	1000981	646.4957563877106
5	-58.863014	-58.863014	-51.92684	-49.663696	2.7669678	1.761077	-56.20512	-49.662994	0.0	1201982	764.4709243774414
6	-75.848366	-75.848366	-46.434437	-49.728714	2.703863	1.2362821	-58.152794	-49.728626	0.0	1402982	884.3791584968567
7	-67.3332	-67.3332	-40.920155	-49.67412	3.0537887	5.762982	-55.32413	-49.674404	0.0	1603983	1010.3275420665741
8	-56.318993	-56.318993	-52.03406	-49.65885	3.4241922	5.766005	-55.990234	-49.659157	0.0	1804985	1130.932184457779
9	-91.25192	-91.25192	-79.54792	-49.613712	3.644779	10.037458	-56.412323	-49.613857	0.0	2005986	3294.187119245529
10	-84.81064	-84.81064	-63.875626	-49.638947	3.4986453	10.046497	-52.790985	-49.63911	0.1	2206985	7638.324596405029
11	-76.36164	-76.36164	-26.668053	-49.63137	3.434332	10.356643	-53.051888	-49.631096	0.0	2407981	11870.186802387238
12	-91.8188	-91.8188	-38.90958	-49.598476	3.6320927	9.713452	-53.805862	-49.597878	0.1	2608982	16481.279319286346
13	-64.2279	-64.2279	-37.604214	-49.575726	3.8102183	10.076664	-53.01473	-49.575577	0.1	2809985	20601.187722682953
14	-53.51428	-53.51428	-48.40236	-49.536	3.87949	11.286065	-53.732334	-49.5357	0.1	3010982	24907.188413858414
15	-72.34877	-72.34877	-116.119774	-49.446632	4.224074	11.661918	-55.165436	-49.446255	0.0	3211981	29304.38581752777
16	-59.37899	-59.37899	-38.37018	-49.44949	4.1450133	9.896658	-55.08262	-49.44867	0.0	3412987	33606.18034911156
17	-55.326572	-55.326572	-26.637615	-49.43168	4.0664988	11.136179	-55.209393	-49.43161	0.2	3613990	37761.28055906296
18	-63.94444	-63.94444	-36.11185	-49.427612	4.0415945	12.297864	-54.574677	-49.42706	0.0	3814982	41866.279973983765
19	-73.61908	-73.61908	-56.83283	-49.39194	4.2284017	13.417146	-55.68448	-49.39259	0.1	4015983	46098.18836021423
20	-70.21784	-70.21784	-47.201084	-49.35235	4.4590354	12.649641	-53.985542	-49.353848	0.0	4216982	50459.53216838837
21	-87.67951	-87.67951	-38.094883	-49.32587	4.625582	15.778572	-54.88671	-49.328342	0.0	4417988	54628.17838740349
22	-67.77704	-67.77704	-101.26213	-49.31071	4.668174	12.364604	-53.844627	-49.31294	0.2	4618983	58713.27922081947
23	-64.42689	-64.42689	-97.49158	-49.286243	4.810219	14.434354	-53.738342	-49.288376	0.0	4819988	60801.11440396309
24	-73.431335	-73.431335	-33.25024	-49.290306	4.833195	13.389195	-53.739613	-49.292034	0.0	5020984	60927.507481098175
25	-71.46472	-71.46472	-115.065575	-49.332115	4.681012	14.712069	-54.27316	-49.3335	0.1	5221991	61063.66285419464
26	-61.499557	-61.499557	-14.201227	-49.302265	4.850065	18.42775	-53.75885	-49.303127	0.0	5422981	61188.982875823975
27	-89.55611	-89.55611	-46.081783	-49.283707	4.9547997	18.30582	-53.77218	-49.284718	0.1	5623981	61316.70686817169
28	-70.147644	-70.147644	-51.651672	-49.27374	4.8964195	20.056152	-53.663734	-49.27463	0.0	5824990	61452.846442222595
29	-73.596596	-73.596596	-57.57185	-49.27184	4.911579	17.72483	-53.629276	-49.272686	0.0	6025985	61576.88079857826
30	-80.70694	-80.70694	-37.847614	-49.293316	4.754532	24.671953	-54.109604	-49.29392	0.0	6226987	61710.78631448746
31	-76.30357	-76.30357	-65.217705	-49.30961	4.708961	23.050611	-53.850136	-49.31075	0.4	6427988	61840.67506957054
32	-68.98022	-68.98022	-94.96854	-49.323666	4.7279835	17.747995	-54.162766	-49.32389	0.1	6628989	61974.59602332115
33	-89.208496	-89.208496	-40.50229	-49.323257	4.7301493	18.292719	-54.25102	-49.32399	0.1	6829988	62100.43668246269
34	-73.685776	-73.685776	-90.352356	-49.32101	4.70529	19.776363	-53.742687	-49.322906	0.0	7030984	62224.574753284454
35	-93.0608	-93.0608	-59.406334	-49.311028	4.7343297	22.443697	-53.656242	-49.313007	0.2	7231981	62360.707402706146
36	-59.86353	-59.86353	-57.961014	-49.300137	4.7413516	20.852434	-53.47162	-49.301987	0.0	7432982	62494.07479548454
37	-65.852486	-65.852486	-81.30059	-49.277344	4.8026175	21.403091	-53.33841	-49.27948	0.0	7633981	62615.957471609116
38	-90.65963	-90.65963	-44.560738	-49.277187	4.756625	18.36808	-53.781754	-49.278805	0.3	7834981	62745.48327565193
39	-88.48825	-88.48825	-69.091324	-49.260284	4.836779	20.690987	-53.51314	-49.262188	0.1	8035991	62871.33677649498
40	-59.03774	-59.03774	-90.86389	-49.278473	4.734966	22.45508	-53.42938	-49.28088	0.2	8236982	63003.28397536278
41	-60.289204	-60.289204	-124.607475	-49.245293	4.811096	24.761133	-53.708164	-49.24915	0.2	8437983	63134.729900836945
