Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-17.166052	-17.166052	-2.3591907	-33.444336	12.606021	1.1548557	-53.440075	-33.472313	0.0	196981	85.93387818336487
1	-23.073713	-23.073713	-18.30648	-48.92632	2.766329	-26.608952	-59.852314	-48.927036	0.0	397981	169.8786838054657
2	-25.801025	-25.801025	-37.119274	-49.67046	1.1636426	-39.64088	-57.261086	-49.670135	0.0	598981	252.7134850025177
3	-26.814552	-26.814552	-32.76934	-49.663086	1.2661966	-38.234364	-56.136116	-49.662952	0.0	799983	334.34835052490234
4	-27.803267	-27.803267	-30.26413	-49.424767	1.8250542	-28.67229	-59.349407	-49.424473	0.0	1000983	418.5850250720978
5	-32.597916	-32.597916	-27.092041	-49.328037	2.149043	-25.971949	-57.384453	-49.328175	0.0	1201981	501.48563504219055
6	-26.80262	-26.80262	-21.903877	-49.379562	2.090916	-25.089577	-56.489765	-49.37949	0.0	1402983	581.6683218479156
7	-29.008657	-29.008657	-33.583134	-49.38303	1.9633789	-27.772768	-58.62282	-49.382877	0.0	1603984	662.0724394321442
8	-29.199987	-29.199987	-15.7125	-49.575974	1.4842644	-35.324608	-55.39672	-49.575867	0.0	1804981	746.0522410869598
9	-26.616245	-26.616245	-15.282772	-49.660732	1.2666333	-38.048286	-57.468555	-49.66058	0.0	2005981	825.6730587482452
10	-23.152376	-23.152376	-11.3415785	-49.685726	1.1976682	-39.104904	-55.814724	-49.6858	0.0	2206981	908.8237686157227
11	-26.30432	-26.30432	-12.736312	-49.675755	1.207682	-38.828053	-54.907955	-49.67572	0.0	2407981	990.1260116100311
12	-29.016556	-29.016556	-15.1342325	-49.66896	1.229728	-38.604897	-57.26596	-49.669037	0.0	2608985	1072.9933822154999
13	-26.028147	-26.028147	-22.85136	-49.679558	1.2194158	-37.90493	-54.427525	-49.679543	0.0	2809981	1156.160758972168
14	-27.067093	-27.067093	-18.201593	-49.682365	1.2170669	-38.215897	-54.1002	-49.682266	0.0	3010981	1238.2951164245605
15	-29.97814	-29.97814	-14.388751	-49.686375	1.2073857	-38.271385	-59.300293	-49.686394	0.0	3211983	1319.212518453598
16	-34.453136	-34.453136	-13.021343	-49.67443	1.2308228	-37.295074	-57.914165	-49.674286	0.0	3412983	1400.031706571579
17	-27.59091	-27.59091	-18.142881	-49.673523	1.2721714	-29.843136	-54.91639	-49.673485	0.0	3613984	1481.082174539566
18	-29.244696	-29.244696	-20.74217	-49.646996	1.3534406	-27.099937	-58.959785	-49.646954	0.0	3814981	1563.6156764030457
19	-27.577	-27.577	-13.042197	-49.61503	1.4359066	-23.812277	-56.15055	-49.614975	0.0	4015987	1645.1355564594269
20	-24.831532	-24.831532	-33.848118	-49.576077	1.5513178	-20.600231	-55.198696	-49.576256	0.0	4216984	1725.5046956539154
21	-25.018713	-25.018713	-14.771809	-49.53651	1.6451529	-16.839907	-55.3442	-49.536797	0.0	4417982	1805.9285752773285
22	-27.543213	-27.543213	-24.84527	-49.486156	1.7945437	-11.813276	-55.04475	-49.486256	0.0	4618981	1887.8881697654724
23	-24.090883	-24.090883	-11.1103735	-49.49438	1.7385484	-14.676519	-54.843254	-49.494553	0.0	4819982	1972.623946428299
24	-23.22447	-23.22447	-22.571922	-49.539825	1.5810031	-20.571392	-59.47008	-49.539726	0.0	5020983	2053.0423872470856
25	-26.28792	-26.28792	-22.970003	-49.569527	1.4932458	-25.076254	-56.093365	-49.56945	0.0	5221987	2132.8935718536377
26	-28.009417	-28.009417	-10.019149	-49.568832	1.4687334	-30.018892	-56.566643	-49.568836	0.0	5422987	2213.259433031082
27	-23.149208	-23.149208	-27.597328	-49.53424	1.6254565	-1.8113599	-57.04321	-49.534096	0.0	5623984	2294.1315488815308
28	-23.932106	-23.932106	-16.824478	-49.497288	1.8081502	0.1776981	-56.647465	-49.497494	0.0	5824982	2377.0642981529236
29	-28.008135	-28.008135	-26.984594	-49.476166	1.9526819	0.6261704	-59.23694	-49.475952	0.0	6025981	2460.11541724205
30	-29.48275	-29.48275	-14.555268	-49.466415	1.997332	1.5467275	-54.861774	-49.46635	0.0	6226988	2540.099294424057
31	-30.85664	-30.85664	-21.48827	-49.47706	1.94492	1.2656212	-55.190212	-49.47712	0.0	6427986	2621.283082962036
32	-24.986355	-24.986355	-14.065674	-49.48586	1.9526529	1.2031528	-56.0459	-49.485638	0.0	6628985	2703.7517504692078
33	-30.402246	-30.402246	-14.951651	-49.498688	1.8772163	2.3119252	-54.0044	-49.49835	0.0	6829983	2787.4362285137177
34	-26.574387	-26.574387	-28.34322	-49.48602	1.9264001	2.1954916	-53.85238	-49.485737	0.0	7030983	2870.7207293510437
35	-28.880178	-28.880178	-26.051819	-49.49658	1.8893924	2.2152843	-55.93354	-49.496353	0.0	7231986	2950.9383614063263
36	-22.539845	-22.539845	-10.586855	-49.490948	1.9220827	2.6980188	-55.088055	-49.490784	0.0	7432985	3034.1735281944275
37	-27.001093	-27.001093	-23.946638	-49.483566	1.8810807	2.0523915	-54.304897	-49.483547	0.0	7633986	3117.372755050659
38	-23.992538	-23.992538	-31.27018	-49.479557	1.8475292	4.45047	-53.29616	-49.47945	0.0	7834982	3203.1077404022217
