Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-126.44482	-126.44482	-14.191135	-40.983547	12.643262	-0.08471216	-77.626465	-40.99672	0.0	196982	103.42670202255249
1	-131.63307	-131.63307	-18.547466	-49.64244	1.7055293	-30.362509	-106.45396	-49.64294	0.0	397982	206.17634916305542
2	-125.66913	-125.66913	-30.426708	-49.88541	1.0562199	-31.043848	-62.01886	-49.88538	0.0	598984	309.98000597953796
3	-124.20925	-124.20925	-35.24587	-49.930763	0.86805904	-29.169966	-56.595615	-49.930855	0.0	799981	414.3975763320923
4	-126.580086	-126.580086	-18.140236	-49.92123	0.91026074	-28.37981	-62.869183	-49.921448	0.0	1000984	516.4308741092682
5	-119.98263	-119.98263	-58.204247	-49.927143	0.8029761	-28.731573	-56.77184	-49.927177	0.0	1201981	620.2536973953247
6	-129.08069	-129.08069	-17.646423	-49.944145	0.68367517	-31.1057	-56.474606	-49.94419	0.0	1402983	722.0689985752106
7	-134.21689	-134.21689	-23.278154	-49.956394	0.6114245	-31.66845	-60.970306	-49.956413	0.0	1603982	825.4871971607208
8	-124.85396	-124.85396	-23.98896	-49.95476	0.5885167	-33.572414	-55.014156	-49.954742	0.0	1804983	929.8875801563263
9	-123.189095	-123.189095	-37.91171	-49.95822	0.5523843	-32.405594	-53.838448	-49.95833	0.0	2005982	1032.4589488506317
10	-120.08904	-120.08904	-33.662876	-49.95859	0.5441356	-33.820602	-57.69025	-49.958607	0.0	2206981	1133.9246289730072
11	-119.70257	-119.70257	-22.732573	-49.95867	0.50821316	-35.079506	-53.46651	-49.95861	0.0	2407983	1237.945302248001
12	-134.27203	-134.27203	-25.436089	-49.95871	0.51458347	-35.166546	-56.779285	-49.95875	0.0	2608984	1341.5601444244385
13	-124.21998	-124.21998	-26.935305	-49.96127	0.51147515	-35.29788	-54.17811	-49.961212	0.0	2809982	1445.0149643421173
