Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-197.23933	-197.23933	-79.40085	-47.75961	6.801743	-0.095618166	-99.750015	-47.792747	0.0	196982	83.30285477638245
1	-226.0539	-226.0539	-163.3153	-49.767487	1.590815	-30.900736	-66.836136	-49.76765	0.0	397983	168.02054142951965
2	-199.4793	-199.4793	-54.248695	-49.75851	1.3714936	-26.378576	-56.597107	-49.75876	0.0	598986	251.12156915664673
3	-201.9379	-201.9379	-43.679317	-49.745777	1.5303981	-29.670307	-59.07339	-49.745754	0.0	799981	333.1233048439026
4	-231.20528	-231.20528	-62.46992	-49.808224	1.3667747	-28.242107	-58.469093	-49.80792	0.0	1000983	415.9450261592865
5	-176.08205	-176.08205	-73.16407	-49.808475	1.3066968	-28.418137	-60.65131	-49.808437	0.0	1201981	499.14229345321655
6	-209.21323	-209.21323	-206.92871	-49.79568	1.3202202	-28.036114	-59.80097	-49.79561	0.0	1402983	581.4783508777618
7	-218.55058	-218.55058	-41.041653	-49.802055	1.2537141	-28.221298	-54.83739	-49.802128	0.0	1603981	664.260792016983
8	-207.034	-207.034	-66.333115	-49.80519	1.2276299	-27.59564	-57.726055	-49.80538	0.0	1804985	747.3278908729553
9	-198.31631	-198.31631	-113.229836	-49.79709	1.2373112	-27.134588	-54.484756	-49.796993	0.0	2005984	830.8134064674377
10	-238.71378	-238.71378	-121.97026	-49.800808	1.2145071	-28.036522	-60.5741	-49.80087	0.0	2206983	914.4129996299744
11	-259.5968	-259.5968	-129.53078	-49.798027	1.1911794	-29.73193	-57.195446	-49.79792	0.0	2407984	997.4819529056549
12	-221.71294	-221.71294	-158.7486	-49.802345	1.1519501	-31.169903	-56.363056	-49.802444	0.0	2608981	1080.414314508438
13	-212.196	-212.196	-100.95267	-49.80447	1.1522382	-29.852623	-58.103573	-49.804478	0.0	2809982	1162.8190808296204
14	-202.65114	-202.65114	-81.31092	-49.799324	1.1783764	-29.739492	-60.480984	-49.799652	0.0	3010981	1244.736125946045
15	-214.21664	-214.21664	-124.27581	-49.80045	1.1374387	-27.17695	-65.233894	-49.800804	0.0	3211981	1327.3896844387054
16	-231.96805	-231.96805	-133.53584	-49.803596	1.1045942	-33.370716	-53.303375	-49.803688	0.0	3412984	1409.7356233596802
17	-186.54298	-186.54298	-61.255493	-49.796978	1.1302941	-32.461166	-57.209644	-49.797092	0.0	3613981	1491.9543311595917
18	-200.1732	-200.1732	-129.65714	-49.78116	1.1745231	-31.283638	-52.915684	-49.78119	0.0	3814986	1573.9736957550049
19	-215.40303	-215.40303	-175.18542	-49.7714	1.1916219	-34.27678	-54.886356	-49.771587	0.0	4015981	1656.5743188858032
20	-188.92311	-188.92311	-73.86921	-49.765583	1.2031505	-35.549393	-56.551605	-49.765564	0.0	4216981	1738.7429761886597
21	-199.02579	-199.02579	-46.086544	-49.759884	1.2298357	-35.370705	-57.861523	-49.75992	0.0	4417986	1821.7311387062073
22	-221.4867	-221.4867	-39.050533	-49.75817	1.2352182	-35.099102	-55.04477	-49.7583	0.0	4618985	1904.678451538086
23	-231.0914	-231.0914	-119.10129	-49.741177	1.2721201	-34.91871	-52.72876	-49.74118	0.0	4819982	1986.463674068451
24	-207.24414	-207.24414	-214.85889	-49.732964	1.2908399	-34.876	-53.87476	-49.73315	0.0	5020981	2069.5308442115784
25	-253.8476	-253.8476	-76.63458	-49.722195	1.3109498	-34.868343	-57.566345	-49.722206	0.0	5221983	2151.8153836727142
26	-189.79305	-189.79305	-92.94522	-49.7138	1.3445617	-34.801933	-56.65256	-49.71378	0.0	5422981	2233.588874578476
27	-194.9808	-194.9808	-90.289764	-49.71235	1.3414204	-34.615524	-53.998096	-49.712425	0.0	5623983	2315.5516035556793
28	-232.72061	-232.72061	-46.449303	-49.7105	1.3441279	-34.723396	-55.19259	-49.710537	0.0	5824981	2397.3227825164795
29	-210.93182	-210.93182	-139.428	-49.699722	1.3634017	-34.119873	-55.239895	-49.699917	0.0	6025983	2480.5056552886963
30	-196.34076	-196.34076	-64.00792	-49.698387	1.3605554	-34.315994	-55.09383	-49.698494	0.0	6226983	2563.1715490818024
31	-250.02547	-250.02547	-107.95633	-49.697113	1.3669634	-34.219807	-58.252956	-49.697285	0.0	6427983	2645.693662405014
32	-180.6471	-180.6471	-170.58546	-49.690586	1.3812636	-34.09997	-54.191536	-49.690857	0.0	6628982	2728.3237788677216
33	-227.87326	-227.87326	-51.577614	-49.689903	1.3693929	-34.50046	-55.884266	-49.689922	0.0	6829981	2811.3622422218323
34	-208.84018	-208.84018	-38.142773	-49.679012	1.3943418	-34.59223	-54.71535	-49.67906	0.0	7030981	2893.495896577835
35	-205.69443	-205.69443	-84.698784	-49.666813	1.4328732	-34.98572	-54.372353	-49.66691	0.0	7231982	2976.2296917438507
36	-193.95764	-193.95764	-86.90755	-49.653126	1.4647483	-35.10889	-54.223255	-49.65335	0.0	7432983	3058.7457966804504
37	-202.24504	-202.24504	-89.87249	-49.64422	1.4822916	-34.12074	-53.71627	-49.64422	0.0	7633983	3140.764230966568
38	-213.16132	-213.16132	-143.87791	-49.649204	1.4821856	-33.392567	-53.78723	-49.649406	0.0	7834982	3223.100569963455
39	-264.87265	-264.87265	-22.694204	-49.64214	1.4848766	-33.143898	-54.65515	-49.642082	0.0	8035982	3305.9159438610077
40	-230.94324	-230.94324	-110.133125	-49.63775	1.4952503	-32.65683	-52.21095	-49.637802	0.0	8236983	3388.4013018608093
41	-198.7751	-198.7751	-26.984072	-49.63408	1.5036888	-32.822395	-53.74431	-49.634136	0.0	8437984	3471.01980137825
42	-237.19028	-237.19028	-58.423706	-49.62438	1.5113341	-32.84684	-52.503544	-49.624577	0.0	8638983	3554.1214838027954
43	-178.71326	-178.71326	-106.56433	-49.62158	1.51524	-32.10739	-53.90448	-49.6215	0.0	8839982	3636.5723609924316
44	-225.80115	-225.80115	-112.21609	-49.622025	1.5178062	-32.586693	-54.59937	-49.622234	0.0	9040983	3718.2069013118744
45	-201.34006	-201.34006	-63.982388	-49.615868	1.5323744	-32.8598	-63.92614	-49.61573	0.0	9241982	3800.4554131031036
46	-202.40363	-202.40363	-51.751785	-49.61214	1.5388913	-32.582733	-53.36162	-49.61225	0.0	9442986	3882.942169904709
47	-203.06503	-203.06503	-67.13127	-49.602036	1.5574654	-33.156544	-52.927	-49.602047	0.0	9643984	3964.8117804527283
48	-199.77858	-199.77858	-64.65504	-49.605347	1.5569293	-33.2006	-52.792236	-49.605392	0.0	9844982	4048.7761874198914
49	-193.71848	-193.71848	-55.315174	-49.597466	1.5720526	-32.441822	-52.053886	-49.597534	0.0	10045983	4130.261208772659
50	-207.3324	-207.3324	-240.90103	-49.597717	1.5821147	-32.05735	-53.43571	-49.597668	0.0	10246986	4212.24635386467
51	-219.65611	-219.65611	-71.1076	-49.597588	1.585101	-30.41931	-52.160313	-49.59752	0.0	10447983	4295.160245895386
52	-190.99931	-190.99931	-153.64679	-49.593826	1.6064799	-29.182047	-52.558083	-49.59397	0.0	10648982	4378.097886562347
53	-245.2212	-245.2212	-55.975048	-49.590546	1.6111484	-27.517925	-55.459038	-49.59044	0.0	10849983	4460.567645072937
54	-199.90312	-199.90312	-25.862122	-49.589863	1.6013993	-27.968515	-55.14535	-49.589844	0.0	11050981	4542.549675703049
55	-224.9557	-224.9557	-55.961487	-49.58776	1.6086241	-28.234648	-53.726368	-49.5877	0.0	11251982	4625.801256895065
56	-175.87215	-175.87215	-57.379948	-49.588398	1.6037004	-29.517143	-52.79351	-49.588356	0.0	11452983	4708.052748918533
57	-207.0588	-207.0588	-38.323933	-49.584167	1.6076939	-30.001186	-52.11322	-49.584076	0.0	11653982	4789.805103063583
58	-217.00737	-217.00737	-25.187273	-49.579975	1.6157234	-31.754662	-56.091682	-49.58005	0.0	11854983	4872.221513271332
59	-190.70235	-190.70235	-124.91201	-49.57489	1.6250191	-33.042625	-54.13748	-49.574852	0.0	12055984	4954.905880689621
60	-225.32631	-225.32631	-23.465136	-49.57588	1.6126223	-32.897404	-62.953022	-49.575726	0.0	12256983	5037.074394226074
61	-188.5056	-188.5056	-71.39808	-49.56845	1.6294297	-33.01797	-51.996933	-49.568344	0.0	12457983	5119.774552106857
62	-190.53932	-190.53932	-22.90013	-49.564205	1.6392891	-32.7084	-52.485283	-49.5641	0.0	12658983	5202.44228720665
63	-205.441	-205.441	-83.03731	-49.56364	1.6411234	-31.384699	-52.372944	-49.56363	0.0	12859983	5284.993750333786
64	-208.4052	-208.4052	-162.47299	-49.56276	1.6398906	-31.484802	-52.063465	-49.562645	0.0	13060981	5367.328812599182
65	-197.97293	-197.97293	-28.231264	-49.562214	1.6385745	-31.43087	-59.622704	-49.562218	0.0	13261982	5449.564883470535
66	-191.97296	-191.97296	-38.06003	-49.553493	1.6663231	-31.023468	-55.323177	-49.553406	0.0	13462982	5531.479515075684
67	-267.99182	-267.99182	-41.782726	-49.553658	1.6606042	-30.337465	-57.420837	-49.55351	0.0	13663983	5614.281615495682
68	-241.65439	-241.65439	-15.993444	-49.55616	1.6622728	-30.310802	-52.380917	-49.55611	0.0	13864983	5696.470629930496
69	-211.06073	-211.06073	-59.248367	-49.554417	1.6694591	-30.606466	-52.320095	-49.554382	0.0	14065981	5779.302352905273
70	-226.6617	-226.6617	-90.83764	-49.551132	1.6771011	-30.816387	-53.489883	-49.55102	0.0	14266981	5861.640228271484
71	-213.42848	-213.42848	-59.857018	-49.55318	1.6756874	-30.06115	-53.05191	-49.55319	0.0	14467982	5945.2212727069855
72	-253.84373	-253.84373	-24.277779	-49.549015	1.6802442	-30.372002	-53.034332	-49.548897	0.0	14668981	6027.019288063049
73	-241.0012	-241.0012	-44.92286	-49.54524	1.6873599	-30.889936	-52.021168	-49.545277	0.0	14869982	6109.105883836746
74	-253.66177	-253.66177	-103.83455	-49.54876	1.6779705	-31.479752	-53.438667	-49.54861	0.0	15070985	6192.7230224609375
75	-250.29031	-250.29031	-87.50337	-49.549644	1.6780837	-31.224005	-52.421066	-49.549675	0.0	15271985	6275.2263197898865
76	-252.97516	-252.97516	-88.24799	-49.5533	1.6671937	-32.235996	-54.922268	-49.553158	0.0	15472985	6358.332449913025
77	-254.52335	-254.52335	-51.423317	-49.546394	1.6759238	-33.28437	-53.363945	-49.546448	0.0	15673987	6440.9432961940765
78	-216.94998	-216.94998	-77.28528	-49.541313	1.6792269	-35.008675	-53.35763	-49.54114	0.0	15874981	6524.3290758132935
79	-267.47665	-267.47665	-148.93878	-49.541523	1.6773226	-32.031273	-52.66684	-49.541492	0.0	16075984	6607.919198274612
80	-240.31073	-240.31073	-105.03609	-49.54395	1.675981	-36.29403	-53.89612	-49.54381	0.0	16276982	6690.252975225449
81	-204.76581	-204.76581	-74.842026	-49.543972	1.6799711	-36.37267	-53.385075	-49.544003	0.0	16477984	6773.0146243572235
82	-209.38824	-209.38824	-87.98053	-49.534718	1.7009106	-35.642662	-52.001465	-49.534557	0.0	16678982	6855.333315610886
83	-259.3551	-259.3551	-176.859	-49.532524	1.7051784	-35.68399	-52.565544	-49.53241	0.0	16879985	6937.618816137314
84	-210.8785	-210.8785	-137.21458	-49.53546	1.7011187	-36.051346	-52.22201	-49.535526	0.0	17080981	7019.720776319504
85	-223.45813	-223.45813	-128.88356	-49.53863	1.700355	-34.89001	-51.852146	-49.53863	0.0	17281981	7102.524490594864
86	-219.612	-219.612	-221.3813	-49.535973	1.705442	-34.248196	-52.39739	-49.536095	0.0	17482982	7185.9916961193085
87	-281.58188	-281.58188	-39.16674	-49.537415	1.7038954	-33.99633	-52.560432	-49.5373	0.1	17683984	7269.122423648834
88	-231.43588	-231.43588	-30.658833	-49.53058	1.7151414	-30.759996	-52.037254	-49.530636	0.0	17884986	7352.323695421219
89	-210.66327	-210.66327	-75.79551	-49.528034	1.7220417	-35.349594	-51.99162	-49.52804	0.0	18085983	7435.145176410675
90	-236.85155	-236.85155	-138.68889	-49.52677	1.7235862	-35.848656	-53.667515	-49.52663	0.0	18286986	7518.51096534729
91	-197.59802	-197.59802	-80.16975	-49.521996	1.7397454	-34.044205	-52.247936	-49.522152	0.0	18487982	7600.17968416214
92	-270.21216	-270.21216	-61.164974	-49.523014	1.736663	-30.291636	-53.504467	-49.522892	0.0	18688982	7682.760363101959
93	-240.65114	-240.65114	-78.57169	-49.52097	1.7516241	-29.463491	-53.7003	-49.52098	0.0	18889983	7765.365058660507
94	-256.36038	-256.36038	-88.013504	-49.526905	1.7401335	-28.43244	-53.586685	-49.526787	0.0	19090984	7847.716017484665
95	-251.39557	-251.39557	-62.120113	-49.524837	1.7499607	-27.095896	-52.648617	-49.524773	0.0	19291983	7931.150185346603
96	-227.72504	-227.72504	-61.597233	-49.524918	1.7514637	-26.911072	-53.649998	-49.524956	0.0	19492982	8013.667158126831
97	-208.6753	-208.6753	-57.46935	-49.517223	1.7614267	-24.659134	-52.437405	-49.51733	0.0	19693983	8095.186557769775
98	-272.6587	-272.6587	-112.69019	-49.51589	1.7688988	-22.95624	-55.496807	-49.515903	0.0	19894986	8178.3216145038605
99	-234.73235	-234.73235	-93.59568	-49.515335	1.7747327	-20.99017	-52.651493	-49.515404	0.0	20095981	8260.720483541489
100	-257.69843	-257.69843	-89.47201	-49.50932	1.8051784	-11.024283	-52.007133	-49.509315	0.0	20296985	8343.723682880402
101	-256.73886	-256.73886	-102.73374	-49.50673	1.8325137	-7.4539824	-52.81031	-49.50682	0.0	20497981	8426.107503175735
102	-246.37558	-246.37558	-101.5958	-49.50311	1.8478124	-9.203087	-52.722855	-49.503147	0.0	20698982	8508.876228094101
103	-283.96222	-283.96222	-135.18658	-49.50528	1.8400015	-3.7791643	-53.931385	-49.50533	0.1	20899982	8591.696505784988
104	-223.2226	-223.2226	-39.429718	-49.507282	1.8050704	-13.909046	-52.54203	-49.507195	0.0	21100981	8674.658768177032
105	-240.47334	-240.47334	-122.76891	-49.512962	1.7703029	-23.117651	-52.953156	-49.5131	0.0	21301991	8756.494752645493
106	-275.6523	-275.6523	-101.81052	-49.51355	1.7657869	-30.631346	-57.252857	-49.51365	0.0	21502982	8839.11540389061
107	-250.07268	-250.07268	-122.152145	-49.51547	1.7607208	-29.29552	-52.902576	-49.515526	0.0	21703984	8922.044886112213
108	-245.50934	-245.50934	-229.58682	-49.51296	1.7689122	-29.090792	-56.1618	-49.513054	0.0	21904981	9004.265629768372
109	-238.96695	-238.96695	-93.3493	-49.501476	1.7963179	-26.39197	-56.672867	-49.501587	0.0	22105982	9087.066526412964
110	-287.78107	-287.78107	-128.40776	-49.501167	1.806247	-22.414268	-55.888813	-49.50129	0.0	22306982	9169.867051362991
111	-227.32674	-227.32674	-50.216576	-49.493652	1.8203133	-21.278685	-54.423645	-49.49372	0.0	22507983	9252.351780891418
112	-248.75677	-248.75677	-189.21982	-49.496628	1.812844	-29.789125	-52.35126	-49.496864	0.0	22708984	9335.78802227974
113	-249.75957	-249.75957	-98.62449	-49.489773	1.8271189	-29.067957	-52.438244	-49.489735	0.0	22909983	9418.074924468994
114	-236.76178	-236.76178	-65.849846	-49.489517	1.8355333	-32.681572	-52.426514	-49.48967	0.0	23110984	9500.38832950592
115	-275.59677	-275.59677	-95.206024	-49.46878	1.9055814	-25.255873	-52.325634	-49.46881	0.0	23311984	9582.438934087753
116	-238.41936	-238.41936	-35.21043	-49.458817	1.969198	-14.551046	-52.60372	-49.45898	0.0	23512984	9665.277671337128
117	-217.62766	-217.62766	-83.99625	-49.43724	2.0626152	-5.400112	-52.875046	-49.43715	0.0	23713983	9747.507416725159
118	-255.02397	-255.02397	-109.25208	-49.448555	2.042777	-0.14020085	-52.62134	-49.448627	0.1	23914984	9830.624128818512
119	-221.06577	-221.06577	-85.20011	-49.443924	2.0558822	2.662241	-52.7248	-49.443943	0.1	24115984	9913.59502196312
120	-267.15063	-267.15063	-92.691315	-49.45154	2.0454926	1.5226336	-52.362843	-49.451508	0.0	24316991	9996.430168390274
121	-227.00879	-227.00879	-105.4863	-49.458153	2.030454	2.5845559	-53.032722	-49.458385	0.0	24517982	10079.247116804123
122	-317.12936	-317.12936	-23.141495	-49.457	2.0253937	2.8048658	-52.736465	-49.45699	0.1	24718981	10161.92890882492
123	-257.02222	-257.02222	-43.383854	-49.470722	2.0075254	4.505229	-52.683422	-49.47083	0.0	24919984	10244.416327953339
124	-321.49158	-321.49158	-120.73796	-49.452534	2.0246866	3.6710262	-53.321236	-49.452442	0.0	25120982	10326.863684654236
125	-224.04507	-224.04507	-93.3674	-49.4542	2.0226645	7.0671597	-52.865803	-49.45434	0.0	25321983	10409.418105125427
126	-298.36288	-298.36288	-55.229004	-49.431908	2.115474	8.057754	-52.961353	-49.432068	0.2	25522981	10491.837244987488
127	-278.3949	-278.3949	-216.8113	-49.429848	2.1337602	6.1761117	-53.536774	-49.429943	0.0	25723982	10574.706447601318
128	-292.35992	-292.35992	-177.28685	-49.421223	2.1538796	7.1981463	-52.99908	-49.421192	0.1	25924985	10656.85448384285
129	-280.01276	-280.01276	-267.91595	-49.42885	2.1161857	13.047119	-52.950157	-49.42907	0.0	26125982	10739.674671888351
130	-331.17953	-331.17953	-186.46075	-49.41852	2.189346	11.189513	-53.255463	-49.418564	0.0	26326985	10822.108316421509
131	-325.58774	-325.58774	-182.9539	-49.415695	2.2489955	12.343466	-53.69424	-49.415726	0.0	26527985	10904.864528894424
132	-287.36353	-287.36353	-100.8567	-49.418922	2.2465854	7.0112457	-54.432686	-49.4192	0.1	26728983	10988.048413276672
133	-224.5256	-224.5256	-155.13864	-49.4324	2.2135196	9.393731	-53.416943	-49.432236	0.1	26929982	11070.24514222145
134	-340.0859	-340.0859	-232.62624	-49.414886	2.2161543	12.370183	-53.36312	-49.415104	0.0	27130983	11152.513361692429
135	-302.33945	-302.33945	-157.99673	-49.407898	2.25586	11.952993	-53.541454	-49.40803	0.2	27331986	11235.701729536057
136	-256.16855	-256.16855	-125.96912	-49.41597	2.254869	10.8525305	-53.35256	-49.41598	0.0	27532981	11319.019869565964
137	-307.9697	-307.9697	-236.2121	-49.42006	2.2468817	11.895351	-54.73719	-49.420162	0.0	27733982	11401.254793643951
138	-290.19818	-290.19818	-180.09262	-49.42209	2.2504401	9.325862	-54.943527	-49.4223	0.1	27934982	11483.498913288116
139	-279.335	-279.335	-95.71197	-49.417812	2.278974	10.0864935	-53.32535	-49.41758	0.1	28135981	11567.71941614151
140	-277.41827	-277.41827	-166.5731	-49.41882	2.292985	11.602265	-56.579857	-49.419014	0.3	28336985	11650.407187461853
141	-275.07312	-275.07312	-109.51535	-49.412323	2.2939315	14.426115	-55.23229	-49.41237	0.1	28537981	11733.036412477493
142	-312.8373	-312.8373	-49.77987	-49.413246	2.2878683	12.818472	-56.100124	-49.413174	0.2	28738986	11815.320950746536
143	-331.8949	-331.8949	-138.51569	-49.414852	2.323683	7.722413	-54.189995	-49.414944	0.1	28939983	11897.776323080063
144	-301.4854	-301.4854	-118.635735	-49.405846	2.344564	9.4032345	-54.475815	-49.405987	0.1	29140982	11980.325208187103
145	-304.67285	-304.67285	-21.492445	-49.40872	2.3699954	9.504	-54.253895	-49.40873	0.1	29341984	12062.577652215958
146	-325.5922	-325.5922	-93.79907	-49.39747	2.379071	7.6813855	-54.576023	-49.397667	0.0	29542990	12145.860252857208
147	-269.78973	-269.78973	-10.299934	-49.391056	2.4041257	9.588513	-57.36371	-49.39104	0.0	29743982	12228.295709609985
148	-317.03275	-317.03275	-323.88007	-49.36651	2.4666998	10.297621	-55.41307	-49.36649	0.0	29944989	12309.903180360794
149	-282.22842	-282.22842	-11.594293	-49.366962	2.5112975	7.232752	-56.089638	-49.36705	0.1	30145982	12392.711527109146
150	-323.55612	-323.55612	-44.10947	-49.359554	2.5352802	9.028383	-61.01876	-49.359688	0.0	30346981	12475.948721170425
151	-349.99594	-349.99594	-91.08768	-49.36605	2.5082245	9.635161	-57.394096	-49.36591	0.3	30547981	12559.304050683975
152	-270.09485	-270.09485	-172.37498	-49.365322	2.5645306	9.039616	-56.00602	-49.365547	0.1	30748984	12641.350507974625
153	-366.30334	-366.30334	-15.535108	-49.350903	2.6073287	11.478962	-57.1262	-49.35093	0.1	30949983	12724.20284128189
154	-317.27966	-317.27966	-340.0225	-49.3563	2.5810928	10.569656	-55.5467	-49.35622	0.0	31150988	12806.989182710648
155	-379.4699	-379.4699	-300.2487	-49.364223	2.5203216	11.203552	-57.798447	-49.364063	0.0	31351981	12890.088698387146
156	-312.60693	-312.60693	-329.89362	-49.368954	2.529391	14.268934	-55.80557	-49.3691	0.1	31552988	12974.29556274414
157	-335.70813	-335.70813	-55.920044	-49.36352	2.552435	10.519395	-55.418983	-49.363617	0.2	31753991	13057.172573328018
158	-289.40915	-289.40915	-171.53111	-49.354324	2.584795	11.44306	-56.768295	-49.354374	0.1	31954984	13139.37579870224
159	-250.37607	-250.37607	-97.99726	-49.349304	2.6258345	10.133105	-55.463818	-49.34922	0.3	32155983	13222.332311868668
160	-259.6068	-259.6068	-67.75599	-49.341854	2.664247	11.096973	-55.32242	-49.341827	0.2	32356982	13304.242674350739
161	-321.95712	-321.95712	-222.27875	-49.332848	2.6928551	14.017201	-54.818188	-49.332977	0.3	32557982	13387.299047708511
162	-322.7237	-322.7237	-114.57492	-49.33785	2.6629455	10.708976	-57.430576	-49.337997	0.0	32758981	13470.899769544601
163	-150.3392	-150.3392	-198.4441	-49.3401	2.6852403	10.830425	-55.090706	-49.339977	0.3	32959984	13553.280928850174
164	-287.0253	-287.0253	-278.39914	-49.333683	2.7239418	13.1045885	-55.800014	-49.33382	0.1	33160982	13635.767714262009
