Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-569.51666	-569.51666	-586.838	-45.689022	8.589145	0.4130593	-149.51793	-45.704975	0.0	196991	77.08774304389954
1	-579.609	-579.609	-611.6729	-47.532124	6.295381	7.527569	-62.33134	-47.53045	0.0	397990	147.79729008674622
2	-618.49225	-618.49225	-381.72177	-43.067707	12.423766	28.981514	-83.751175	-43.068745	0.0	598988	220.58782601356506
3	-500.91327	-500.91327	-217.95439	-39.51933	15.852867	22.36844	-67.17426	-39.52165	0.0	799984	297.8045585155487
4	-474.8409	-474.8409	-494.4089	-40.460934	15.736912	33.699833	-71.03694	-40.468853	0.0	1000981	376.9279625415802
5	-526.7903	-526.7903	-408.5918	-41.651455	15.225103	17.268196	-75.58708	-41.654224	0.0	1201991	462.18054127693176
6	-521.3518	-521.3518	-467.44922	-42.75388	14.364011	18.36726	-71.89023	-42.755783	0.0	1402991	550.0236096382141
7	-512.27185	-512.27185	-437.99744	-44.080032	12.813468	28.588167	-75.153725	-44.0794	0.0	1603988	638.867086648941
8	-576.25494	-576.25494	-753.61346	-44.747726	12.117142	16.812643	-78.36804	-44.747223	0.0	1804991	720.0238878726959
9	-632.23566	-632.23566	-560.90826	-45.16992	11.555007	19.194092	-73.14446	-45.16896	0.0	2005989	805.9820568561554
10	-559.41943	-559.41943	-166.04669	-45.838226	10.672535	21.284021	-71.67381	-45.838825	0.0	2206981	889.349958896637
11	-523.5723	-523.5723	-394.90076	-46.585808	9.407261	56.754467	-67.41132	-46.585323	0.0	2407985	973.4627118110657
12	-509.94684	-509.94684	-423.36475	-46.999313	8.753433	20.331078	-67.471596	-46.99853	0.0	2608991	1059.230886220932
13	-623.2291	-623.2291	-426.39795	-47.358177	8.154743	28.639185	-66.14555	-47.35757	0.0	2809989	1146.5647835731506
14	-628.59045	-628.59045	-494.76718	-47.591454	7.7403297	23.61398	-62.05008	-47.591263	0.0	3010991	1230.3589153289795
15	-535.536	-535.536	-546.2989	-47.810974	7.293217	19.449717	-64.91681	-47.81083	0.0	3211991	1315.016631603241
16	-542.48413	-542.48413	-328.11404	-47.998093	6.904466	23.6829	-63.380527	-47.998585	0.0	3412991	1398.7634603977203
17	-578.0573	-578.0573	-457.026	-48.136497	6.6471677	25.11871	-63.52169	-48.136925	0.0	3613987	1483.335881471634
