Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-997.8459	-997.8459	-1448.675	-48.376007	6.334979	-0.096312344	-173.3511	-48.374725	0.0	196990	57.83971405029297
1	-934.6256	-934.6256	-683.79095	-49.860218	0.6695401	-39.911694	-53.537518	-49.86094	0.0	397998	111.25330066680908
2	-996.8176	-996.8176	-1260.7812	-49.88584	0.6385824	-36.356438	-52.629375	-49.885876	0.0	599001	166.6725718975067
3	-1046.8088	-1046.8088	-677.33984	-49.877037	0.69922197	-31.223692	-54.79432	-49.877167	0.0	799992	226.49060940742493
4	-728.88776	-728.88776	-317.97903	-49.859184	0.81676394	-28.690722	-55.548355	-49.859375	0.0	1000998	286.53157925605774
5	-584.07104	-584.07104	-768.4221	-49.862316	0.8244942	-28.822634	-54.429382	-49.86243	0.0	1201991	346.4688091278076
6	-797.96265	-797.96265	-229.41739	-49.86239	0.836452	-28.687372	-55.116867	-49.86246	0.0	1402982	406.8413143157959
7	-873.4141	-873.4141	-880.86346	-49.85668	0.8445673	-28.026184	-53.66837	-49.85682	0.0	1604001	467.5673336982727
8	-858.1314	-858.1314	-870.97015	-49.858997	0.83758605	-29.944979	-54.37853	-49.859104	0.0	1804989	528.6368939876556
9	-826.01373	-826.01373	-1233.8682	-49.85369	0.8424705	-29.060596	-54.432007	-49.853764	0.0	2006001	593.1207749843597
10	-871.97595	-871.97595	-643.5131	-49.848446	0.83441406	-29.038666	-54.249	-49.848637	0.0	2207001	657.3785545825958
11	-1066.5538	-1066.5538	-731.48236	-49.852352	0.8321735	-27.729914	-55.317745	-49.852448	0.0	2407994	724.6620872020721
12	-692.24603	-692.24603	-554.6948	-49.85834	0.8161224	-27.4132	-56.938515	-49.85853	0.0	2609000	789.215756893158
13	-797.09985	-797.09985	-529.1842	-49.854454	0.8366886	-26.772818	-54.639935	-49.854458	0.0	2809991	852.0127890110016
14	-692.46454	-692.46454	-572.88104	-49.850433	0.89096606	-21.813908	-55.787735	-49.85038	0.0	3010984	918.4461717605591
15	-855.8418	-855.8418	-477.81775	-49.845627	0.93165934	-16.12015	-55.305023	-49.845734	0.0	3211981	981.4661402702332
16	-799.9854	-799.9854	-485.3797	-49.840076	0.9189195	-18.343678	-59.53876	-49.840057	0.0	3412992	1045.1765213012695
17	-628.80237	-628.80237	-690.1366	-49.83767	0.9219087	-15.620876	-57.35681	-49.837784	0.0	3613985	1108.74738407135
18	-667.3606	-667.3606	-233.99844	-49.834908	0.93469363	-10.074704	-56.61121	-49.83522	0.0	3814999	1174.0364406108856
19	-642.491	-642.491	-406.2722	-49.825687	0.9586083	-6.2806664	-57.76659	-49.825954	0.0	4015989	1239.245019197464
20	-875.1944	-875.1944	-256.90823	-49.826405	0.9493872	-10.512072	-56.522804	-49.826553	0.0	4216986	1306.2139286994934
21	-713.76624	-713.76624	-420.8129	-49.825413	0.9314334	-13.155033	-58.55695	-49.825726	0.1	4417981	1371.9803988933563
22	-609.0875	-609.0875	-338.7991	-49.827934	0.90831405	-12.374585	-58.04877	-49.82814	0.0	4619001	1442.1576883792877
23	-644.08813	-644.08813	-154.53925	-49.823536	0.92372054	-8.749732	-58.123497	-49.823536	0.0	4819985	1508.5470612049103
24	-616.87335	-616.87335	-460.48953	-49.82531	0.9353104	-8.19138	-53.264248	-49.82545	0.0	5021001	1578.021809577942
25	-664.9024	-664.9024	-196.3876	-49.814754	0.9485837	-6.8898087	-53.69239	-49.814877	0.0	5221988	1641.9936645030975
26	-552.38904	-552.38904	-370.81125	-49.811516	0.96507365	-4.3347025	-53.28951	-49.811474	0.0	5422982	1706.8907878398895
27	-661.06647	-661.06647	-38.863987	-49.806	0.9545951	-10.311993	-54.05437	-49.80609	0.0	5624001	1775.6003561019897
28	-528.70825	-528.70825	-385.38342	-49.793835	0.9766092	-16.46119	-53.81874	-49.79382	0.0	5825001	1841.7262427806854
29	-602.6432	-602.6432	-160.55956	-49.78522	0.9938354	-13.78848	-53.502388	-49.785294	0.2	6025982	1908.7010498046875
30	-553.44464	-553.44464	-20.64938	-49.784744	0.99553037	-17.043436	-53.238834	-49.784657	0.0	6226982	1975.0300116539001
31	-523.13184	-523.13184	-10.729551	-49.77732	1.0468715	-17.485687	-52.89634	-49.77731	0.1	6427993	2041.6559283733368
32	-409.91125	-409.91125	-109.046906	-49.77816	1.0707189	-12.3457155	-53.169476	-49.778217	0.0	6628981	2106.8017427921295
33	-597.83405	-597.83405	-424.42606	-49.770958	1.1137381	-9.075773	-53.51221	-49.77094	0.0	6829982	2168.9923865795135
34	-584.52783	-584.52783	-166.77806	-49.76288	1.1460302	-10.617756	-52.9936	-49.763023	0.2	7030999	2232.0169451236725
35	-526.1866	-526.1866	-140.61754	-49.75993	1.1546962	-14.276948	-53.08924	-49.759804	0.1	7232000	2293.9359674453735
36	-530.6917	-530.6917	-94.178375	-49.758587	1.1695637	-7.778384	-53.769417	-49.758633	0.1	7432981	2355.777001619339
37	-667.3837	-667.3837	-286.59003	-49.753277	1.1989337	-2.9922557	-53.824337	-49.75321	0.1	7634001	2418.1020765304565
38	-683.4814	-683.4814	-109.95451	-49.748123	1.1788332	-2.1990185	-53.25264	-49.748116	0.1	7834981	2481.2356357574463
39	-623.73145	-623.73145	-14.74147	-49.74382	1.2642585	2.2806888	-53.081863	-49.743835	0.0	8035994	2542.5874004364014
40	-408.5268	-408.5268	-116.3146	-49.731888	1.3082386	5.878054	-54.06273	-49.731617	0.0	8236981	2604.1993968486786
41	-546.2937	-546.2937	-1.6369736	-49.72882	1.358677	6.991203	-53.04104	-49.729115	0.2	8437983	2665.6818664073944
42	-509.16266	-509.16266	-31.346388	-49.727154	1.3704767	12.917177	-52.789978	-49.727127	0.3	8638994	2727.741333961487
43	-615.63776	-615.63776	-148.1166	-49.73387	1.3409247	10.3455105	-52.675552	-49.733894	0.2	8839983	2789.2793214321136
44	-582.3588	-582.3588	-89.468025	-49.7268	1.4016848	8.303983	-53.082756	-49.7269	0.1	9041001	2851.3635354042053
45	-330.7196	-330.7196	-177.96463	-49.731106	1.3681222	8.699858	-53.311092	-49.731007	0.3	9241985	2912.2671349048615
46	-461.39755	-461.39755	-415.46252	-49.706337	1.495318	13.512892	-53.430958	-49.706306	0.1	9442986	2973.86603808403
47	-431.2359	-431.2359	-95.325615	-49.695175	1.5456817	16.632431	-53.681282	-49.695236	0.1	9643988	3035.129240512848
48	-425.7211	-425.7211	-83.32314	-49.68743	1.6450876	20.414383	-55.393665	-49.687466	0.1	9844981	3097.084540128708
49	-444.41577	-444.41577	-57.180393	-49.67975	1.6633661	20.497095	-54.805336	-49.679672	0.3	10045987	3157.4825513362885
50	-489.57727	-489.57727	3.5683572	-49.65548	1.842837	19.491606	-55.63608	-49.655575	0.2	10246983	3217.1289558410645
51	-447.75903	-447.75903	-3.57278	-49.652706	1.8964862	17.72596	-54.294212	-49.652866	0.2	10447981	3276.3897643089294
52	-395.9266	-395.9266	-63.161804	-49.652493	1.9032435	19.205889	-53.187057	-49.65245	0.2	10648993	3336.2231571674347
53	-404.1211	-404.1211	-121.56023	-49.649197	1.8755326	26.205883	-56.136856	-49.649185	0.0	10849981	3395.8513474464417
54	-543.41174	-543.41174	3.3712456	-49.643486	1.9554948	20.15612	-55.89138	-49.64345	0.0	11050983	3455.881008863449
55	-367.98495	-367.98495	-113.0643	-49.638798	1.9646081	21.987799	-57.636356	-49.63871	0.4	11251981	3515.5072202682495
56	-447.56775	-447.56775	-70.4123	-49.645996	1.9066482	27.677862	-53.99149	-49.646046	0.1	11452989	3575.111588716507
57	-447.0158	-447.0158	1.7791219	-49.646194	1.9228691	31.822014	-53.244232	-49.64637	0.2	11653982	3635.317619085312
58	-381.3357	-381.3357	4.696342	-49.632236	1.9337851	22.467363	-54.791195	-49.632477	0.3	11854981	3694.9857664108276
59	-358.1747	-358.1747	-3.4123306	-49.617226	1.9874518	20.967604	-54.305653	-49.617466	0.3	12055981	3754.8752694129944
60	-510.15976	-510.15976	-86.5453	-49.602604	2.1030297	26.14361	-55.668793	-49.602592	0.2	12256996	3814.638999223709
