Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-947.83875	-947.83875	-232.90005	-48.612663	5.941288	-0.102889106	-111.31044	-48.59515	0.0	196982	63.15688347816467
1	-806.4447	-806.4447	-963.92755	-49.856834	0.8422879	-29.859362	-58.814293	-49.857216	0.0	398001	128.90903902053833
2	-953.4353	-953.4353	-1082.0127	-49.79653	1.5309498	1.5013808	-63.91001	-49.797043	0.0	598988	199.98765325546265
3	-671.53033	-671.53033	0.0	-49.7598	2.004329	2.7594194	-58.190575	-49.760582	0.0	799981	277.34239053726196
4	-833.5658	-833.5658	-539.35547	-49.774605	1.7148871	-1.261221	-56.23043	-49.774925	0.0	1001001	383.9258999824524
5	-940.7932	-940.7932	-715.7181	-49.80587	1.4268376	-2.0556345	-55.041462	-49.806076	0.0	1201990	479.9918785095215
6	-854.8636	-854.8636	-36.854633	-49.812294	1.5460203	7.5269732	-61.331993	-49.81224	0.0	1403001	575.7934050559998
7	-836.6013	-836.6013	-425.16068	-49.818096	1.4269881	6.6350417	-55.669468	-49.818287	0.0	1603988	676.1816420555115
8	-996.67773	-996.67773	-979.167	-49.81949	1.40424	3.286443	-54.396797	-49.819004	0.0	1805001	773.1352660655975
9	-897.83044	-897.83044	-625.754	-49.823013	1.366256	5.6310935	-54.07765	-49.823048	0.0	2005986	870.0969336032867
10	-776.37756	-776.37756	-1001.68463	-49.82643	1.3183987	7.833729	-53.702293	-49.826324	0.0	2206996	967.6219251155853
11	-880.0725	-880.0725	-1039.6967	-49.83412	1.2654299	4.8737836	-53.463764	-49.833782	0.0	2407985	1065.146509885788
12	-895.34344	-895.34344	-1101.8838	-49.83571	1.2264191	6.791313	-56.91973	-49.835632	0.0	2609000	1162.2187163829803
13	-837.0097	-837.0097	-360.06915	-49.84345	1.137217	8.178188	-56.954754	-49.843533	0.0	2809989	1258.4447565078735
14	-898.3956	-898.3956	-777.91174	-49.84648	1.0436075	4.591361	-58.565685	-49.84633	0.0	3011001	1352.1245839595795
15	-884.2862	-884.2862	-868.1107	-49.84619	0.9863251	-4.839386	-53.88077	-49.84629	0.0	3212001	1445.3805170059204
16	-787.46014	-787.46014	-918.7762	-49.85192	0.93436027	-8.619202	-56.427616	-49.852127	0.0	3413001	1540.3786101341248
17	-849.83514	-849.83514	-689.5277	-49.85356	0.9404932	2.1934636	-56.070927	-49.853806	0.0	3613997	1633.8296296596527
18	-805.7054	-805.7054	-627.34204	-49.856266	0.921291	-6.2803917	-56.522022	-49.856453	0.0	3814982	1727.2794103622437
19	-839.1545	-839.1545	-528.25604	-49.85652	0.8879633	-10.210637	-55.57099	-49.856808	0.0	4015988	1819.3603727817535
20	-862.5697	-862.5697	-893.10315	-49.85438	0.895952	-11.234365	-54.298313	-49.854496	0.0	4216984	1911.873340845108
21	-831.8468	-831.8468	-498.58945	-49.858803	0.8351364	-16.14231	-54.078938	-49.858875	0.0	4417991	2003.7478203773499
22	-593.82666	-593.82666	-316.1161	-49.85261	0.86389107	-10.026289	-53.89087	-49.85277	0.0	4619000	2095.0048727989197
