Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-159.38153	-159.38153	-32.621914	-46.553856	7.98299	-0.072519355	-114.31888	-46.569435	0.0	196983	81.95529270172119
1	-184.79596	-184.79596	-107.554085	-49.752167	1.463723	-33.969986	-60.732784	-49.75241	0.0	397981	166.43222379684448
2	-177.0516	-177.0516	-69.234215	-49.711212	1.4761082	-34.207237	-56.12485	-49.711395	0.0	598985	253.74754071235657
3	-162.6689	-162.6689	-46.171085	-49.686638	1.5805154	-33.167824	-54.533947	-49.6869	0.0	799990	342.54544591903687
4	-165.51247	-165.51247	-107.76377	-49.666065	1.5686537	-33.616116	-55.895226	-49.66619	0.0	1000986	434.7852075099945
5	-165.04062	-165.04062	-56.485596	-49.643547	1.6045996	-36.123234	-67.97111	-49.64372	0.0	1201981	524.8266603946686
6	-189.66844	-189.66844	-68.46976	-49.526478	2.2578084	4.1621914	-68.68888	-49.525665	0.0	1402986	617.8387792110443
7	-176.35915	-176.35915	-58.873817	-49.509743	2.5236828	3.3157158	-56.388916	-49.509872	0.0	1603984	709.065664768219
8	-157.26329	-157.26329	-62.315243	-49.533974	2.4179363	5.8182845	-54.773598	-49.53374	0.0	1804983	802.8787107467651
9	-170.17416	-170.17416	-67.54799	-49.480373	2.4726973	6.1540594	-56.676056	-49.479885	0.0	2005985	895.4110174179077
10	-172.86713	-172.86713	-86.64234	-49.461563	2.5176551	9.094876	-54.28345	-49.46121	0.1	2206985	989.5510814189911
11	-167.80872	-167.80872	-28.232882	-49.476295	2.4563463	12.687103	-56.13322	-49.475883	0.0	2407982	1082.8215382099152
12	-149.64725	-149.64725	-85.1138	-49.497868	2.412149	7.225748	-57.664703	-49.498	0.0	2608983	1176.6834847927094
13	-166.1022	-166.1022	-104.63978	-49.490288	2.3799717	13.681617	-56.489185	-49.490044	0.0	2809982	1270.266170501709
14	-168.3583	-168.3583	-37.09314	-49.487988	2.380617	9.060872	-53.459694	-49.488075	0.0	3010983	1364.8051300048828
15	-173.46826	-173.46826	-84.66895	-49.50234	2.288476	12.782395	-54.77871	-49.502243	0.0	3211983	1458.8104526996613
16	-164.99922	-164.99922	-56.216087	-49.487312	2.3320274	11.59254	-54.83321	-49.48702	0.0	3412983	1555.0535259246826
17	-140.45074	-140.45074	-48.468277	-49.428207	2.570929	6.842139	-54.8634	-49.427536	0.0	3613982	1658.2742104530334
18	-156.74812	-156.74812	-80.351265	-49.326572	2.9527178	8.548405	-60.26248	-49.32524	0.0	3814981	1757.840986251831
19	-203.08127	-203.08127	-67.65379	-49.356304	2.877505	6.832358	-59.50667	-49.355824	0.1	4015982	1855.1145310401917
20	-176.7148	-176.7148	-73.446945	-49.349274	2.8800354	11.490408	-57.374016	-49.34915	0.1	4216983	1951.8047013282776
21	-142.67857	-142.67857	-62.63959	-49.338074	2.9359326	5.096321	-58.840153	-49.33791	0.0	4417983	2048.1246111392975
22	-154.13022	-154.13022	-35.837585	-49.305855	3.111685	9.323309	-57.04755	-49.30581	0.0	4618981	2142.4847559928894
23	-190.13039	-190.13039	-71.24278	-49.304756	3.2005026	11.568188	-57.997314	-49.30478	0.1	4819984	2236.5440752506256
24	-172.58861	-172.58861	-57.290005	-49.285095	3.2455144	17.497103	-59.37934	-49.284893	0.1	5020984	2330.8171734809875
25	-157.16211	-157.16211	-44.474865	-49.30682	3.206165	9.557898	-55.52567	-49.307343	0.0	5221986	2421.419743537903
