#{"t_start": 1677134753.4888573, "env_id": "AntBulletEnv-v0"}
r,l,t
480.592204,1000,8.654294
448.541067,1000,13.845195
547.528486,1000,19.362892
566.506646,1000,24.566674
542.592101,1000,29.784846
505.738988,1000,34.745571
564.068853,1000,40.0221
477.243681,1000,45.415159
502.638863,1000,50.721448
377.657421,1000,56.054105
518.617013,1000,61.258746
523.928094,1000,66.556714
538.016464,1000,71.872511
486.453328,1000,77.527904
540.136398,1000,83.117952
535.736217,1000,88.470632
561.005011,1000,94.061676
588.586571,1000,99.714554
628.455254,1000,106.075351
564.400231,1000,111.690539
615.021921,1000,117.226776
624.294339,1000,122.576466
659.288445,1000,128.124624
618.621931,1000,133.675776
497.509941,1000,139.366961
589.650055,1000,144.945934
625.573288,1000,150.2682
628.777101,1000,155.731598
691.431296,1000,161.276034
636.490924,1000,166.743745
551.476392,1000,172.229172
614.424788,1000,177.534104
654.172952,1000,183.219543
628.829612,1000,189.635395
665.772363,1000,195.064871
622.933171,1000,200.865354
686.346279,1000,206.513246
637.564213,1000,211.945714
653.775539,1000,217.410957
693.83093,1000,222.927131
678.082142,1000,228.441946
700.356085,1000,234.013999
644.755413,1000,239.424076
617.126822,1000,244.980211
733.100857,1000,250.626148
649.245098,1000,256.181323
728.653747,1000,261.658715
761.091711,1000,267.122582
701.026615,1000,272.770323
780.11346,1000,278.33254
742.483185,1000,283.938972
660.183234,1000,289.531045
769.269484,1000,295.138517
711.488344,1000,300.604586
737.086059,1000,306.366246
805.106934,1000,312.04148
753.012863,1000,317.699957
754.868887,1000,323.348034
763.500013,1000,328.864277
790.844218,1000,334.50419
771.020861,1000,340.278714
669.461556,1000,346.002759
725.070898,1000,351.764121
771.181492,1000,357.2794
790.624168,1000,363.042539
802.704656,1000,368.79513
799.295311,1000,374.615068
802.004929,1000,380.441889
758.870054,1000,386.228181
788.200056,1000,391.726972
804.671607,1000,397.516503
655.501226,1000,403.330945
823.884236,1000,409.07158
856.350554,1000,414.837175
686.940776,1000,420.36942
761.697345,1000,426.131391
789.784976,1000,431.902223
854.345629,1000,437.681725
906.898506,1000,443.484061
844.861129,1000,449.966898
840.683489,1000,456.287698
821.793522,1000,462.385388
831.708379,1000,468.267651
847.922203,1000,474.270593
813.159753,1000,480.718347
856.589028,1000,487.926064
878.012372,1000,493.857209
793.473258,1000,499.703576
792.48678,1000,505.520018
862.23884,1000,511.37336
772.680104,1000,517.039204
790.957517,1000,522.847559
719.503392,1000,528.641884
906.796221,1000,534.460819
836.979042,1000,540.345079
804.868422,1000,545.916368
873.787211,1000,552.089872
901.526284,1000,558.030981
952.108159,1000,563.872352
763.524451,1000,569.719711
744.915446,1000,575.500248
750.948528,1000,581.109956
924.975185,1000,586.915367
757.810794,1000,592.835437
791.442424,1000,598.674819
827.751427,1000,604.446377
933.863267,1000,610.164082
729.705267,1000,615.995883
742.443452,1000,621.939979
766.427759,1000,627.807574
791.532321,1000,634.169338
704.267618,1000,640.057399
886.904266,1000,645.868824
822.868852,1000,651.811167
839.577298,1000,657.60104
776.92546,1000,663.551733
804.681808,1000,669.408118
747.046148,1000,675.127831
809.048391,1000,681.114873
770.218077,1000,686.97485
831.713099,1000,694.192676
825.744204,1000,700.386108
862.74093,1000,706.302315
890.334751,1000,712.882239
857.461707,1000,719.026758
873.644366,1000,725.24705
850.24912,1000,731.737767
814.356466,1000,737.873598
868.212949,1000,744.510933
959.354974,1000,750.072146
880.568095,1000,756.021258
729.662399,1000,761.957366
956.52441,1000,767.684453
903.777994,1000,773.317089
952.77384,1000,779.058293
826.785187,1000,784.805357
875.023517,1000,790.754574
834.694519,1000,796.350694
